Blockchain,Date,Marketplace,Sales,Buyers,NFTs,Collections,Volume,PriceAverage,PriceMedian,PriceMax,PriceFloor
Flow,2022-12-14,FlovatarMarketplace,37,15,37,2,3150.508988,85.14889156,3.802953135,1853.939653,0.617979884
Flow,2022-12-14,MotoGPNFTStorefront,2,1,2,1,5.1474637,2.57373185,2.57373185,3.870273459,1.277190241
Flow,2022-12-14,NFTStorefront,8268,2171,7939,27,121981.2598,14.75341797,6,1899,0.2
Flow,2022-12-14,NFTStorefrontV2,1910,95,167,6,28716.55168,15.03484381,10,690,1
Flow,2022-12-14,OffersV2,1970,546,1965,1,35466,18.00304569,1,3000,1
Flow,2022-12-14,OlympicPinMarket,5,2,5,1,10,2,2,2,2
Flow,2022-12-14,TopShotMarketV3,3606,796,3578,1,35438,9.827509706,2,850,1
Flow,2022-12-14,ZeedzMarketplace,8,5,8,1,1136.048871,142.0061089,5.690168628,1001.127413,2.633545046
Gnosis,2022-12-14,Others,29,6,28,3,460.1166761,15.86609228,13.99723697,59.98815844,0.099980264
NEAR,2022-12-14,LandToEmpire,2,1,2,1,0.392541723,0.196270861,0.196270861,0.204804377,0.187737346
NEAR,2022-12-14,Mintbase,3,2,3,2,5.205444583,1.735148194,1.689636111,2.150445959,1.365362514
NEAR,2022-12-14,Paras,195,93,164,23,2211.598703,11.34153181,1.706703142,221.8714085,0.019251611
NEAR,2022-12-14,TradePort,12,3,12,2,73.18343073,6.098619227,5.103042394,17.04996439,5.103042394
Optimism,2022-12-14,quixotic,4731,4129,2949,112,69542.75088,14.00941799,13.29,535.7846,0.02
Polygon,2022-12-14,BitKeep,376,285,1117,25,37832.63221,29.67265272,1.841362417,140.8642249,0.920681208
Polygon,2022-12-14,Element,4,4,14,2,51.55814767,3.682724833,3.682724833,5.52408725,1.841362417
Polygon,2022-12-14,NFTKEY,4,2,4,2,11.0481745,2.762043625,1.841362417,6.444768458,0.920681208
Polygon,2022-12-14,Others,2255,784,2014,50,25971.49621,11.35117841,11.96885571,1022.876822,0.920681208
Polygon,2022-12-14,PlayDapp,120,51,934,6,3552.908783,3.80397086,4.603406042,73.65449667,0.920681208
Polygon,2022-12-14,Seaport,1873,750,6838,101,47320.25206,6.712092491,3.682724833,1022.876822,0.920681208
Polygon,2022-12-14,tofuNFT,268,96,2194,21,11800.37105,5.3467925,5.52408725,138.1021813,0.920681208
Solana,2022-12-14,CoralCube,91,57,91,18,2153.869278,23.66889316,7.098429316,325.2302289,0.170225681
Solana,2022-12-14,Exchange.Art,25,22,25,0,5365.964411,214.6385765,38.03442404,3831.579394,2.827838218
Solana,2022-12-14,Hadeswap,2255,734,1994,68,144068.7643,63.49438708,23.89523295,842.7286975,0.636263599
Solana,2022-12-14,Hyperspace,176,91,171,14,7808.368281,44.36572887,33.93405862,1074.578523,0.141391911
Solana,2022-12-14,Magic Eden,27998,6272,21284,952,2001399.765,71.483669,14.13919109,11099.26501,1.41E-07
Solana,2022-12-14,OpenSea,23,18,23,13,299.0990344,13.00430585,7.069595546,70.69595546,0.282783822
Solana,2022-12-14,Solanart,23,18,23,11,992.6235297,43.15754477,29.69230129,193.6503612,1.413919109
Solana,2022-12-14,Yawww,9,5,8,3,79.82987291,8.869985879,0.395897351,42.41757328,0.282783822
Algorand,2022-12-13,AB2 Gallery,10,2,10,5,9.811080533,0.981108053,1.007387733,1.313984,0.437994667
Algorand,2022-12-13,ALGOxNFT,510,153,473,69,4767.859408,9.348743937,4.357280443,437.7758883,0.007157928
Algorand,2022-12-13,Atomic Swaps,7,7,7,2,93.29330221,13.3276146,17.51978667,27.37466667,2.19E-07
Algorand,2022-12-13,Nfdomains,17,16,15,0,677.5777493,39.85751467,36.68205333,154.39312,0.218997333
Algorand,2022-12-13,Rand Gallery,361,153,356,77,27350.39432,75.76286514,10.94986667,5474.933333,0.218997333
Algorand,2022-12-13,Shufl,2,2,2,0,243.08704,121.54352,121.54352,194.469632,48.617408
Arbitrum,2022-12-13,Others,75,60,73,19,21855.33218,287.5701602,5.500847254,6931.698039,0.2588634
Arbitrum,2022-12-13,Seaport,1032,890,1270,62,33133.60864,24.57982836,9.506758373,582.4426505,0.01294317
Arbitrum,2022-12-13,tofuNFT,204,161,198,27,892.6727035,4.375846586,0.10807547,71.05800336,0.080247654
Avalanche,2022-12-13,Element,83,82,18,4,5487.209156,66.11095368,65.31629167,159.8164583,0.126463458
Avalanche,2022-12-13,FarmLand,5,5,5,1,1095.090167,219.0180333,194.5591667,347.4270833,173.7135417
Avalanche,2022-12-13,Nifty Protocol,45,14,45,7,2206.644208,49.03653796,13.48017083,1236.840417,2.362504167
Avalanche,2022-12-13,Others,303,161,561,76,118604.4921,192.227702,51.41920833,1389.708333,0.001389708
Avalanche,2022-12-13,Roostr,16,8,16,1,5628.31875,351.7699219,347.4270833,486.3979167,270.993125
Avalanche,2022-12-13,Seaport,15,14,18,11,1645.96916,91.44273113,62.536875,227.9121667,1.249347792
Avalanche,2022-12-13,chikn,5,5,5,1,9798.986326,1959.797265,1570.370417,3474.270833,1334.12
BSC,2022-12-13,Element,32,25,36,5,32889.21167,747.4820833,815.435,1630.87,271.8116667
BSC,2022-12-13,MarketNG,21,15,68,10,20929.49833,307.7867402,271.8116667,815.435,271.8116667
BSC,2022-12-13,Nifty Protocol,14,12,14,4,4620.798333,330.0570238,271.8116667,815.435,271.8116667
BSC,2022-12-13,Others,75,58,80,26,95134.08333,980.7637457,271.8116667,6795.291667,271.8116667
BSC,2022-12-13,Seaport,18,14,23,5,13862.395,602.7128261,543.6233333,1630.87,271.8116667
Ethereum,2022-12-13,Blur,4812,2911,4944,270,20907394.34,2409.518767,343.06,142075.08,0.13
Ethereum,2022-12-13,Larva Labs,8,6,7,1,892952.67,111619.0838,98079.375,217245.6,82600.93
Ethereum,2022-12-13,LooksRare,244,173,236,62,6220906.28,22870.97897,133.5,1075165.2,0.13
Ethereum,2022-12-13,NFTX,42,33,109,11,12456.62,113.242,12.23,1162.05,3.62
Ethereum,2022-12-13,OpenSea,27135,15010,12299,941,9709603.43,240.8613671,47.045,103039.56,0.01
Ethereum,2022-12-13,Rarible,30,23,27,11,6407.100161,213.5700054,31.79351225,2110.9,0.000128139
Ethereum,2022-12-13,Sudoswap,239,191,400,48,169906.22,388.8014188,61.6,13526.87,1.36
Ethereum,2022-12-13,X2Y2,1645,1183,1848,50,5664374.17,2477.853968,46.435,798390,0.14
Flow,2022-12-13,AeraPack,15,15,15,1,232.0000655,15.46667103,29,29,8.89812E-06
Flow,2022-12-13,ChainmonstersMarketplace,1,1,1,1,0.3003002,0.3003002,0.3003002,0.3003002,0.3003002
Flow,2022-12-13,FindMarketSale,48,27,47,2,390.2379047,8.129956347,6,42.23790466,2
Flow,2022-12-13,FlovatarMarketplace,49,14,49,2,1714.014171,34.97988104,16.61357583,196.1716016,0.469310052
Flow,2022-12-13,MotoGPNFTStorefront,1,1,1,1,12.95001753,12.95001753,12.95001753,12.95001753,12.95001753
Flow,2022-12-13,NFTStorefront,7980,2118,7745,30,130776.9219,16.38808545,6,1399,0.281586031
Flow,2022-12-13,NFTStorefrontV2,2137,101,231,7,30900.70341,14.45985185,10,800,3
Flow,2022-12-13,OffersV2,2034,561,2029,1,29593,14.54916421,1,1111,1
Flow,2022-12-13,OlympicPinMarket,25,11,25,1,43,1.72,1,4,1
Flow,2022-12-13,StarlyCardMarket,1,1,1,1,1.001000667,1.001000667,1.001000667,1.001000667,1.001000667
Flow,2022-12-13,TopShotMarketV3,5195,1212,5099,1,75783,14.58768046,2,1999,1
Flow,2022-12-13,ZeedzMarketplace,4,3,4,1,615.8626797,153.9656699,7.462029823,600,0.938620104
Gnosis,2022-12-13,Others,30,13,27,2,827.9914361,27.59971454,15.49633045,288.7316279,0.099976325
NEAR,2022-12-13,LandToEmpire,3,1,3,1,5.36730147,1.78910049,1.238608031,2.972659276,1.156034163
NEAR,2022-12-13,Mintbase,3,2,3,3,3.402043393,1.134014464,1.58541828,1.651477375,0.165147738
NEAR,2022-12-13,Paras,211,80,206,25,2026.688939,9.60516085,2.495844728,165.1477375,0.018628665
NEAR,2022-12-13,TradePort,4,3,4,4,106.3221134,26.58052836,8.653741446,82.40872103,6.605909501
Optimism,2022-12-13,quixotic,3966,3271,2585,113,55554.30182,13.13961727,12.84,292.31,0.13
Polygon,2022-12-13,BitKeep,383,263,3478,26,74018.73877,20.31249692,8.193250875,141.1059873,0.910361208
Polygon,2022-12-13,Element,2,2,7,2,77.38070271,11.0543861,13.65541813,13.65541813,4.551806042
Polygon,2022-12-13,NFTKEY,4,1,4,1,18.20722417,4.551806042,2.731083625,10.01397329,2.731083625
Polygon,2022-12-13,Others,2012,570,1868,46,23204.19684,11.24779294,11.83469571,2298.662051,0.910361208
Polygon,2022-12-13,PlayDapp,225,61,1232,6,3852.648634,3.11955355,2.731083625,44.60769921,0.910361208
Polygon,2022-12-13,Seaport,1611,739,6133,128,48770.78101,7.779674751,3.641444833,455.1806042,0.910361208
Polygon,2022-12-13,tofuNFT,249,101,2273,21,12191.5573,5.361282894,6.372528458,44.60769921,0.910361208
Solana,2022-12-13,CoralCube,73,53,73,23,1296.095641,17.75473481,2.979903437,228.1778039,0.161574528
Solana,2022-12-13,Exchange.Art,27,23,27,0,9656.668492,357.6543886,123.3354413,2545.353623,2.684122771
Solana,2022-12-13,Hadeswap,934,401,843,77,102953.7722,108.6010255,49.99887186,2029.185528,1.050974981
Solana,2022-12-13,Hyperspace,230,117,227,20,27497.34211,119.5536613,46.97214849,2268.083741,0.094414018
Solana,2022-12-13,Magic Eden,33269,7101,25980,1003,1691155.623,50.83277596,13.42061385,13416.45346,0.012078552
Solana,2022-12-13,OpenSea,33,17,33,11,1514.194179,45.88467208,5.234039403,684.4513065,0.442880257
Solana,2022-12-13,Solanart,42,21,42,13,2227.793716,53.04270753,8.924708212,536.8245541,0.013420614
Solana,2022-12-13,Yawww,1,1,1,0,53.68245541,53.68245541,53.68245541,53.68245541,53.68245541
Algorand,2022-12-12,ALGOxNFT,444,184,456,72,3462.52604,7.462340603,4.356543016,544.0782286,0.000762014
Algorand,2022-12-12,Atomic Swaps,30,11,30,0,131.2930563,4.376435211,0.000435437,28.30337792,0.000217718
Algorand,2022-12-12,Nfdomains,9,7,9,0,275.9579347,30.66199274,24.49330781,109.4034416,0.217718292
Algorand,2022-12-12,Rand Gallery,455,160,433,80,14756.81017,32.43254983,8.708731667,762.0140208,0.217718292
Algorand,2022-12-12,Shufl,5,4,5,2,40.71332054,8.142664108,4.354365833,16.32887188,2.6126195
Arbitrum,2022-12-12,NFTX,1,1,10,1,88.18250919,8.818250919,8.818250919,8.818250919,8.818250919
Arbitrum,2022-12-12,Others,51,42,54,21,131960.6779,2443.716258,1.349295807,97666.14672,1.25392E-06
Arbitrum,2022-12-12,Seaport,1180,1067,1404,70,33547.7805,23.29706979,8.150459664,1730.405283,0.000125392
Arbitrum,2022-12-12,tofuNFT,274,211,272,26,5738.54512,20.94359533,8.7774181,1379.308559,0.077742846
Avalanche,2022-12-12,Element,71,71,17,3,5241.667054,73.82629654,73.14541667,155.60025,0.465470833
Avalanche,2022-12-12,FarmLand,2,2,2,1,2433.7475,1216.87375,1216.87375,1662.395833,771.3516667
Avalanche,2022-12-12,Nifty Protocol,47,14,47,9,1043.439318,22.20083654,7.314541667,212.7866667,0.664958333
Avalanche,2022-12-12,Others,408,170,497,87,35924.86696,68.29822617,9.974375,3723.766667,0.006649583
Avalanche,2022-12-12,Roostr,9,7,9,1,3252.577192,361.3974657,329.6863417,731.4541667,279.2825
Avalanche,2022-12-12,Seaport,24,21,28,14,7304.494146,260.8747909,22.60858333,1163.677083,0.106393333
Avalanche,2022-12-12,chikn,2,2,2,1,2619.935833,1309.967917,1309.967917,1316.6175,1303.318333
BSC,2022-12-12,Element,30,23,125,7,84765.13375,662.2276074,559.5058333,1678.5175,279.7529167
BSC,2022-12-12,MarketNG,19,16,19,11,10071.105,530.0581579,279.7529167,1398.764583,279.7529167
BSC,2022-12-12,Nifty Protocol,3,3,3,2,839.25875,279.7529167,279.7529167,279.7529167,279.7529167
BSC,2022-12-12,Others,74,57,82,22,50355.525,599.4705357,279.7529167,3357.035,279.7529167
BSC,2022-12-12,Seaport,11,9,12,5,8392.5875,699.3822917,559.5058333,1958.270417,279.7529167
Ethereum,2022-12-12,Blur,3948,2436,4840,288,14544912.2,1870.968896,199.22,92859.78,0.13
Ethereum,2022-12-12,Larva Labs,4,3,4,1,331542.71,82885.6775,81954.845,87629.24,80003.78
Ethereum,2022-12-12,LooksRare,288,214,328,70,5117370.56,14963.07181,560.64,1014363.2,0.13
Ethereum,2022-12-12,NFTX,25,23,73,13,12010.65,162.3060811,20.3,3000.17,2.26
Ethereum,2022-12-12,OpenSea,24717,13932,11140,915,8709355.33,236.8796837,37.63,125921,0.01
Ethereum,2022-12-12,Rarible,51,31,47,7,6827.82919,133.8790037,24.0517865,1646.55452,1.25E-14
Ethereum,2022-12-12,Sudoswap,293,227,394,47,285431.39,659.1948961,109.72,14516.59,0.13
Ethereum,2022-12-12,X2Y2,1517,1026,1796,48,5322150.04,2307.95752,26.69,984160.54,0.26
Flow,2022-12-12,AeraPack,83,67,83,1,2146.000084,25.8554227,29,29,8.776E-06
Flow,2022-12-12,ChainmonstersMarketplace,11,3,11,1,13.5935902,1.235780927,1.851851389,1.911911434,0.230230173
Flow,2022-12-12,FindMarketSale,24,10,24,3,320.5843506,13.35768128,12.5,34,0.940621518
Flow,2022-12-12,FlovatarMarketplace,22,5,22,2,778.6935238,35.39516017,13.59198094,136.8604309,1.881243036
Flow,2022-12-12,MotoGPNFTStorefront,2,1,2,1,21.62248856,10.81124428,10.81124428,15.72544623,5.897042335
Flow,2022-12-12,NFTStorefront,4815,1230,4672,30,71403.1376,14.82931207,5,2000,0.25
Flow,2022-12-12,NFTStorefrontV2,2336,175,419,5,44679,19.12628425,10,1900,1
Flow,2022-12-12,OffersV2,2413,642,2407,1,60607,25.11686697,1,5150,1
Flow,2022-12-12,OlympicPinMarket,44,14,44,1,167,3.795454545,1,11,1
Flow,2022-12-12,StarlyCardMarket,21,1,21,1,35.49555405,1.690264478,1.014190142,6.085324311,1.014085131
Flow,2022-12-12,TheFabricantMarketplace,1,1,1,1,18.81243036,18.81243036,18.81243036,18.81243036,18.81243036
Flow,2022-12-12,TopShotMarketV3,6886,1769,6826,1,58812,8.540807435,2,3600,1
Flow,2022-12-12,ZeedzMarketplace,3,1,3,1,317.4503561,105.8167854,94.06215181,216.3429492,7.045255171
Gnosis,2022-12-12,Others,6,4,6,1,54.57326273,9.095543788,1.199851874,49.99382808,0.099987656
NEAR,2022-12-12,Mintbase,3,2,3,3,1.870067492,0.623355831,0.161212715,1.547642062,0.161212715
NEAR,2022-12-12,Paras,168,78,150,23,1720.151532,10.23899722,3.081226375,225.6978007,0.018184794
