Blockchain,Date,Marketplace,Sales,Buyers,NFTs,Collections,Volume,PriceAverage,PriceMedian,PriceMax,PriceFloor
Flow,2022-12-11,OffersV2,2319,556,2301,1,22324,9.626563174,1,910,1
Flow,2022-12-11,OlympicPinMarket,7,4,7,1,35,5,2,15,1
Flow,2022-12-11,StarlyCardMarket,15,3,15,1,34.23510768,2.282340512,2.006799276,6.02200851,1.001000334
Flow,2022-12-11,TheFabricantMarketplace,8,3,8,2,196.2428721,24.53035902,20.44196585,51.10491462,19.41986755
Flow,2022-12-11,TopShotMarketV3,4046,811,3985,1,27703,6.847009392,2,1100,1
Flow,2022-12-11,ZeedzMarketplace,3,2,3,1,166.6020216,55.53400722,81.76786339,81.76786339,3.066294877
Gnosis,2022-12-11,Others,15,12,15,1,2.499141762,0.166609451,0.09996567,0.359876414,0.09996567
NEAR,2022-12-11,Apollo42,3,1,3,1,25.37956424,8.459854746,8.459854746,8.459854746,8.459854746
NEAR,2022-12-11,LandToEmpire,1,1,1,1,0.203036514,0.203036514,0.203036514,0.203036514,0.203036514
NEAR,2022-12-11,Mintbase,4,2,4,2,5.68502239,1.421255597,1.573532983,1.691970949,0.845985475
NEAR,2022-12-11,Paras,197,70,184,20,1752.121481,8.894017669,1.502470203,167.505124,0.019085432
Optimism,2022-12-11,quixotic,3723,2718,3165,108,53041.93996,12.91500851,12.72,240.53,0.01
Polygon,2022-12-11,BitKeep,175,160,1104,14,92171.17875,77.32481439,98.156934,99.0657945,0.9088605
Polygon,2022-12-11,Element,1,1,6,1,32.718978,5.453163,5.453163,5.453163,5.453163
Polygon,2022-12-11,NFTKEY,18,1,18,2,254.48094,14.13783,12.26961675,97.2480735,0.9088605
Polygon,2022-12-11,Others,2335,849,2045,34,23063.24405,9.847670388,12.724047,102.7012365,0.9088605
Polygon,2022-12-11,PlayDapp,123,33,1199,4,3254.629451,2.714453253,1.817721,20.9037915,0.9088605
Polygon,2022-12-11,Seaport,646,331,4012,99,56422.9687,13.92472081,6.3620235,408.987225,0.9088605
Polygon,2022-12-11,tofuNFT,149,68,1846,15,11654.31819,6.313281794,7.270884,81.797445,0.9088605
Solana,2022-12-11,CoralCube,96,64,96,17,1725.878763,17.97790378,2.755141428,381.8543527,0.109628946
Solana,2022-12-11,Exchange.Art,22,22,22,0,3063.735277,139.2606944,82.97908996,1045.38653,2.727332456
Solana,2022-12-11,Hadeswap,1140,423,977,72,129746.8416,113.1184321,62.04681336,2156.512682,1.365417625
Solana,2022-12-11,Hyperspace,72,45,72,12,6102.775241,84.76076724,4.090998683,1145.479631,0.013704846
Solana,2022-12-11,Magic Eden,27903,5573,20465,928,1723641.974,61.77263999,5.877401442,6818.331139,0.013636662
Solana,2022-12-11,OpenSea,92,21,92,20,781.0410592,8.489576731,1.362984395,160.9126149,0.53864816
Solana,2022-12-11,Solanart,24,17,24,11,441.3219376,18.38841407,14.31849539,95.45663594,1.363666228
Solana,2022-12-11,Yawww,3,3,3,3,29.45519052,9.81839684,8.181997367,16.36399473,4.90919842
Algorand,2022-12-10,ALGOxNFT,326,141,324,83,4019.512658,12.32979343,6.653939971,595.5976864,0.025238648
Algorand,2022-12-10,Atomic Swaps,9,8,9,3,245.0948003,27.23275559,11.4721125,137.66535,0.002294423
Algorand,2022-12-10,Nfdomains,63,14,62,0,1032.031241,16.38144826,0.22944225,376.28529,0.22944225
Algorand,2022-12-10,Rand Gallery,369,122,358,83,12299.46703,33.33188897,8.03047875,688.32675,0.22944225
Algorand,2022-12-10,Shufl,2,2,2,2,49.33008375,24.66504188,24.66504188,45.88845,3.44163375
Arbitrum,2022-12-10,NFTX,1,1,9,1,60.02206461,6.66911829,6.66911829,6.66911829,6.66911829
Arbitrum,2022-12-10,Others,50,42,49,14,52267.90205,1045.358041,10.20579237,24117.43383,0.139458032
Arbitrum,2022-12-10,Seaport,903,827,1025,57,18520.13217,17.24407092,10.09169034,735.3241704,0.074800217
Arbitrum,2022-12-10,tofuNFT,241,178,232,23,2409.548601,9.998126975,0.874782203,470.353909,0.073532417
Avalanche,2022-12-10,Element,69,62,27,3,4607.768842,65.82526917,74.1409375,145.4574583,0.265495167
Avalanche,2022-12-10,FarmLand,6,5,6,1,2505.257583,417.5429306,211.83125,974.42375,204.7702083
Avalanche,2022-12-10,Nifty Protocol,44,14,44,9,1705.998492,38.772693,7.767145833,847.325,2.824416667
Avalanche,2022-12-10,Others,460,279,693,82,210004.3859,275.9584572,33.18689583,1771.191692,0.127855534
Avalanche,2022-12-10,Roostr,5,4,5,1,2262.216529,452.4433058,487.211875,593.1275,306.3079875
Avalanche,2022-12-10,Seaport,27,22,40,10,1459.748915,36.49372287,1.383964167,169.465,0.141220833
Avalanche,2022-12-10,chikn,9,6,9,1,14040.03403,1560.003781,1511.062917,1765.260417,1334.536875
BSC,2022-12-10,Element,41,31,123,7,73817.67,559.2247727,286.115,2861.15,286.115
BSC,2022-12-10,MarketNG,11,9,11,6,5722.3,520.2090909,286.115,1144.46,286.115
BSC,2022-12-10,Nifty Protocol,8,7,8,3,2288.92,286.115,286.115,286.115,286.115
BSC,2022-12-10,Others,51,48,82,22,44347.825,509.7451149,286.115,3433.38,286.115
BSC,2022-12-10,Seaport,25,23,39,5,121026.645,2750.605568,1430.575,6580.645,286.115
Ethereum,2022-12-10,Blur,5143,2631,5884,261,31875720.96,2862.917277,341.8,100855.66,0.13
Ethereum,2022-12-10,Larva Labs,4,4,4,1,364498.36,91124.59,90721.59,101637.24,81417.94
Ethereum,2022-12-10,LooksRare,356,238,389,67,4926445.85,12045.09988,1596.5,970229.76,0.38
Ethereum,2022-12-10,NFTX,61,51,127,21,56066.63,434.6250388,23.31,6735.64,1.91
Ethereum,2022-12-10,OpenSea,26588,14711,11694,898,9041152.12,233.5068602,31.68,107378.58,0.01
Ethereum,2022-12-10,Rarible,32,25,27,7,18471.51651,577.2348909,38.398584,14673.77,1.27E-14
Ethereum,2022-12-10,Sudoswap,310,249,469,56,506181.22,962.321711,72.05,15173.98,1.26
Ethereum,2022-12-10,X2Y2,1747,1108,2389,56,4613242.38,1545.992755,17.575,941341.17,0.25
Flow,2022-12-10,AeraPack,8,8,8,1,7.47184E-05,9.3398E-06,9.34618E-06,9.62693E-06,9.06544E-06
Flow,2022-12-10,ChainmonstersMarketplace,6,3,6,1,25.45,4.241666667,1.95,17.5,0.25
Flow,2022-12-10,FindMarketSale,22,13,22,3,123.705365,5.622971134,2,24,2
Flow,2022-12-10,FlovatarMarketplace,1,1,1,1,51.04414247,51.04414247,51.04414247,51.04414247,51.04414247
Flow,2022-12-10,MatrixMarketOpenOffer,1,1,1,1,1.338377416,1.338377416,1.338377416,1.338377416,1.338377416
Flow,2022-12-10,NFTStorefront,3610,976,3524,27,61129.1686,16.9332877,4,1799,0.01
Flow,2022-12-10,NFTStorefrontV2,2199,134,311,3,37770,17.17598909,10,1650,4
Flow,2022-12-10,OffersV2,2036,555,2030,1,27678,13.59430255,1,3700,1
Flow,2022-12-10,OlympicPinMarket,63,9,63,1,181,2.873015873,2,21,1
Flow,2022-12-10,StarlyCardMarket,1,1,1,1,8,8,8,8,8
Flow,2022-12-10,TopShotMarketV3,4256,916,4223,1,54988,12.92011278,2,1650,1
Flow,2022-12-10,ZeedzMarketplace,3,3,3,1,98.43156195,32.81052065,7,85,6.431561951
Gnosis,2022-12-10,Others,111,14,111,3,300.2154428,2.704643628,0.999918208,29.99754624,0.009999182
NEAR,2022-12-10,Mintbase,1,1,1,1,1.485376878,1.485376878,1.485376878,1.485376878,1.485376878
NEAR,2022-12-10,Others,1,1,1,1,0.034146595,0.034146595,0.034146595,0.034146595,0.034146595
NEAR,2022-12-10,Paras,180,69,169,19,2593.271481,14.40706378,1.726588424,1280.497309,0.01925868
NEAR,2022-12-10,TradePort,1,1,1,1,33.12219705,33.12219705,33.12219705,33.12219705,33.12219705
Optimism,2022-12-10,quixotic,3366,2491,2661,120,47440.17968,12.62378384,12.64,2147.73,0.13
Polygon,2022-12-10,BitKeep,290,249,1722,23,144698.2406,70.61895588,98.151642,99.0604535,0.9088115
Polygon,2022-12-10,Element,1,1,2,1,5.452869,2.7264345,2.7264345,2.7264345,2.7264345
Polygon,2022-12-10,NFTKEY,2,2,2,1,3.635246,1.817623,1.817623,1.817623,1.817623
Polygon,2022-12-10,Others,1528,871,1438,34,17267.4185,10.95648382,5.452869,642.5297305,0.9088115
Polygon,2022-12-10,PlayDapp,69,29,914,5,3757.026741,4.106040154,4.5440575,272.64345,0.9088115
Polygon,2022-12-10,Seaport,551,293,2528,98,21510.65939,8.442174016,3.635246,171.7653735,0.9088115
Polygon,2022-12-10,tofuNFT,210,63,4082,14,25593.94946,6.182113397,7.270492,57.2551245,0.9088115
Solana,2022-12-10,CoralCube,100,66,100,19,2524.276555,25.24276555,5.664171673,192.2465278,0.436776569
Solana,2022-12-10,Exchange.Art,29,24,29,2,2214.332473,76.35629217,36.26254004,440.3308433,3.408133462
Solana,2022-12-10,Hadeswap,2279,625,1947,81,243019.1416,106.0755747,88.61147002,2220.535603,1.365004252
Solana,2022-12-10,Hyperspace,193,111,188,18,17497.80707,90.66221279,98.15424371,1145.132843,0.17722294
Solana,2022-12-10,Magic Eden,27512,5600,19416,897,1897565.856,68.97229777,12.95090716,26269.89273,0.013632534
Solana,2022-12-10,OpenSea,33,23,33,10,1123.688868,34.05117781,8.165887775,99.53112963,0.817952031
Solana,2022-12-10,Solanart,24,19,22,12,1203.616413,50.15068389,32.03645455,190.8554739,4.089760155
Solana,2022-12-10,Yawww,13,10,10,6,1192.437736,91.72597966,13.63253385,961.0936363,0.272650541
Algorand,2022-12-09,ALGOxNFT,360,144,364,70,3852.409149,10.46850312,3.380622235,354.9418972,0.022535979
Algorand,2022-12-09,Atomic Swaps,4,3,12,2,28222.03207,2351.836006,1126.798958,4507.195833,25.01493688
Algorand,2022-12-09,Nfdomains,25,20,25,0,1862.936718,74.51746871,20.28238125,631.0074167,0.225359792
Algorand,2022-12-09,Rand Gallery,393,162,391,80,11957.89365,30.42721032,9.014617026,901.2138069,0.225359792
Algorand,2022-12-09,Shufl,4,2,4,1,15.77518542,3.943796354,3.380396875,5.633994792,3.380396875
Arbitrum,2022-12-09,NFTX,4,4,4,4,28.47945275,7.119863186,2.626951342,22.32771739,0.89783267
Arbitrum,2022-12-09,Others,89,65,83,21,28255.74369,307.1276488,28.0869369,5800.778388,0.000997986
Arbitrum,2022-12-09,Seaport,912,804,1218,51,78986.96163,63.59658746,12.51145371,933.0097435,0.01276679
Arbitrum,2022-12-09,tofuNFT,244,185,242,23,1726.305927,7.075024293,0.25533579,510.67158,0.079154095
Avalanche,2022-12-09,Element,71,71,16,2,5749.453125,80.97821303,73.653125,172.859375,16.534375
Avalanche,2022-12-09,FarmLand,8,7,8,1,1749.6375,218.7046875,198.4125,387.80625,172.859375
Avalanche,2022-12-09,Nifty Protocol,36,13,36,10,1803.174303,50.08817509,8.112365625,233.7359375,2.2546875
Avalanche,2022-12-09,Others,713,425,957,105,93111.84567,84.34043992,15.19884844,5862.1875,0.000150313
Avalanche,2022-12-09,Roostr,9,7,9,1,5771.849688,641.3166319,375.78125,2029.21875,300.4746875
Avalanche,2022-12-09,Seaport,9,9,14,6,3962.2375,283.0169643,150.1621875,811.6875,0.1503125
Avalanche,2022-12-09,chikn,4,2,4,1,5937.34375,1484.335938,1458.03125,1578.28125,1443
BSC,2022-12-09,Element,35,28,161,8,139557.6758,850.961438,565.0108333,2260.043333,282.5054167
BSC,2022-12-09,MarketNG,26,17,26,7,11300.21667,434.6237179,282.5054167,1130.021667,282.5054167
BSC,2022-12-09,Nifty Protocol,5,4,5,3,1695.0325,339.0065,282.5054167,565.0108333,282.5054167
BSC,2022-12-09,Others,134,91,238,32,140687.6975,558.2845139,282.5054167,2542.54875,282.5054167
BSC,2022-12-09,Seaport,7,6,8,5,4520.086667,565.0108333,565.0108333,1130.021667,282.5054167
Ethereum,2022-12-09,Blur,2645,1757,3429,206,5985047.54,1182.815719,227.21,84685.92,0.13
Ethereum,2022-12-09,Larva Labs,1,1,1,1,80443.81,80443.81,80443.81,80443.81,80443.81
Ethereum,2022-12-09,LooksRare,265,194,273,64,4019751.34,13222.86625,444.525,1037528.56,0.13
Ethereum,2022-12-09,NFTX,28,26,81,16,34947.74,431.4535802,409.18,1794.76,3.53
Ethereum,2022-12-09,OpenSea,23186,13472,10413,871,8345179.36,258.5007391,43.06,231396.62,0.01
Ethereum,2022-12-09,Rarible,31,25,25,7,68932.105,2223.61629,89.5767384,64206.205,1.2939817
Ethereum,2022-12-09,Sudoswap,212,180,312,36,200310.93,603.3461747,116.88,14334.52,2.24
Ethereum,2022-12-09,X2Y2,747,554,731,56,4977018.18,5598.445647,101.78,1006636.15,0.13
Flow,2022-12-09,AeraPack,5,5,5,1,4.84151E-05,9.68303E-06,9.7447E-06,1.01045E-05,9.17935E-06
Flow,2022-12-09,ChainmonstersMarketplace,13,3,13,1,35.97597598,2.767382767,1.901901902,17.51751752,0.3003003
Flow,2022-12-09,FindMarketSale,63,23,62,2,576.6422151,9.153051033,6,60,2
Flow,2022-12-09,FindPack,26,19,26,1,184.4092775,7.092664519,7.092664519,7.092664519,7.092664519
Flow,2022-12-09,FlovatarMarketplace,12,8,12,2,245.7248483,20.47707069,15.36743979,51.9100809,3.854708978
Flow,2022-12-09,MatrixMarketOpenOffer,1,1,1,1,15.41883591,15.41883591,15.41883591,15.41883591,15.41883591
Flow,2022-12-09,MotoGPNFTStorefront,1,1,1,1,16.07731051,16.07731051,16.07731051,16.07731051,16.07731051
Flow,2022-12-09,NFTStorefront,4402,1217,4265,30,71705.73415,16.28935351,4,1949,0.01
Flow,2022-12-09,NFTStorefrontV2,2170,107,233,4,32014,14.75299539,10,299,1
Flow,2022-12-09,OffersV2,3503,707,3496,1,54579,15.58064516,1,12000,1
Flow,2022-12-09,OlympicPinMarket,79,15,78,1,458,5.797468354,2,200,1
Flow,2022-12-09,StarlyCardMarket,7,1,7,1,70.00557822,10.00079689,5.999286021,35.00253145,3.999612165
Flow,2022-12-09,TopShotMarketV3,8444,1687,8390,1,69737,8.258763619,2,4199,1
Flow,2022-12-09,ZeedzMarketplace,14,6,14,1,2031.164371,145.0831694,71.95456759,513.961197,6.157255141
Gnosis,2022-12-09,Others,5,4,5,2,50.53818175,10.10763635,2.101587756,45.03402334,0.100075607
NEAR,2022-12-09,LandToEmpire,3,2,3,1,0.375233263,0.125077754,0.119392402,0.221728746,0.034112115
NEAR,2022-12-09,Mintbase,3,3,3,3,6.600694211,2.200231404,1.705605739,3.411211479,1.483876993
NEAR,2022-12-09,Others,1,1,1,1,0.017056057,0.017056057,0.017056057,0.017056057,0.017056057
NEAR,2022-12-09,Paras,160,77,158,24,2000.281947,12.50176217,4.273633965,133.0372477,0.019239233
Optimism,2022-12-09,quixotic,2832,2118,2434,114,43153.91126,13.56614626,12.8,327.44,0.13
Polygon,2022-12-09,BitKeep,261,252,175,24,8175.239887,23.9042102,20.28366725,97.73039675,0.921984875
Polygon,2022-12-09,NFTKEY,4,2,4,2,39.64534963,9.911337406,11.52481094,11.98580338,4.609924375
Polygon,2022-12-09,Others,1612,788,1467,36,31860.10934,19.48630541,8.297863875,3911.05984,0.921984875
Polygon,2022-12-09,PlayDapp,93,31,875,5,3037.018178,3.470877918,3.6879395,38.72336475,0.921984875
Polygon,2022-12-09,Seaport,746,406,4425,97,50795.8347,11.39942431,4.609924375,221.27637,0.921984875
Polygon,2022-12-09,tofuNFT,201,73,2540,22,14314.73717,5.550499096,6.453894125,202.8366725,0.921984875
Solana,2022-12-09,CoralCube,82,63,81,15,4476.966732,54.59715527,19.09753862,274.4101572,0.124010868
Solana,2022-12-09,Exchange.Art,9636,27,9636,0,11384.97606,1.181504365,0.02902744,3096.951666,0.02902744
Solana,2022-12-09,Hadeswap,2975,906,2150,83,424106.7844,142.3654865,102.8933175,2257.200728,0.551547542
Solana,2022-12-09,Hyperspace,336,168,327,19,35773.37902,106.4683899,109.752872,1230.466887,0.123471981
Solana,2022-12-09,Magic Eden,25898,5735,18961,947,2286659.921,88.29484596,12.21000701,10975.2872,0.000137191
Solana,2022-12-09,OpenSea,38,21,38,11,35719.86791,939.9965239,6.859554502,35024.88529,0.342977725
Solana,2022-12-09,Solanart,48,27,44,18,3392.461274,70.67627655,28.53574673,390.1714601,1.09752872
Solana,2022-12-09,Yawww,70,42,8,5,208.4616788,2.978023983,0.260663071,61.73599052,0.13719109
Algorand,2022-12-08,ALGOxNFT,438,162,500,85,3621.588047,7.018581486,5.579042708,502.1140669,0.022316171
Algorand,2022-12-08,Atomic Swaps,1,1,1,0,8.256983208,8.256983208,8.256983208,8.256983208,8.256983208
Algorand,2022-12-08,Nfdomains,29,23,28,0,1536.133619,52.9701248,20.08455375,369.3326273,0.223161708
Algorand,2022-12-08,Rand Gallery,305,139,303,79,8489.099727,27.83311386,7.810659792,401.691075,0.223161708
Algorand,2022-12-08,Shufl,3,2,3,2,339.8752818,113.2917606,2.6779405,334.5194008,2.6779405
Arbitrum,2022-12-08,NFTX,1,1,1,1,3.156903001,3.156903001,3.156903001,3.156903001,3.156903001
Arbitrum,2022-12-08,Others,83,67,84,18,159083.9166,1807.771779,12.56376147,61080.44398,0.009992684
Arbitrum,2022-12-08,Seaport,976,878,1144,51,23818.62122,20.16818055,11.21885706,1246.539673,0.07479238
Arbitrum,2022-12-08,tofuNFT,279,241,273,33,1972.97064,7.071579354,0.299169522,498.6158692,0.07728546
Avalanche,2022-12-08,Element,61,61,16,2,4608.165,75.54368853,69.49833333,164.5266667,15.60166667
Avalanche,2022-12-08,FarmLand,1,1,1,1,191.475,191.475,191.475,191.475,191.475
Avalanche,2022-12-08,Nifty Protocol,23,9,23,5,2063.235317,89.70588333,141.8333333,141.8333333,2.68065
Avalanche,2022-12-08,Others,335,216,492,75,53725.24757,101.9454413,36.73483333,1031.128333,0.099283333
Avalanche,2022-12-08,Roostr,4,4,4,1,1964.391667,491.0979167,308.4875,1106.3,241.1166667
Avalanche,2022-12-08,Seaport,14,13,16,10,3709.509,231.8443125,127.65,851,0.567333333
Avalanche,2022-12-08,chikn,3,3,3,1,4113.166667,1371.055556,1347.416667,1560.166667,1205.583333
BSC,2022-12-08,Element,36,26,169,4,107328.0175,606.3729802,281.7008333,3380.41,281.7008333
BSC,2022-12-08,MarketNG,18,16,18,8,11268.03333,626.0018519,845.1025,1408.504167,281.7008333
BSC,2022-12-08,Nifty Protocol,5,5,5,3,1971.905833,394.3811667,281.7008333,845.1025,281.7008333
BSC,2022-12-08,Others,90,58,88,21,56621.8675,549.7268689,281.7008333,3380.41,281.7008333
BSC,2022-12-08,Seaport,10,5,16,4,39438.11667,2319.889216,2253.606667,3098.709167,563.4016667
Ethereum,2022-12-08,Blur,2592,1876,3454,250,4159664.82,838.811216,64.06,85968.19,0.12
Ethereum,2022-12-08,Larva Labs,5,5,5,1,431414.85,86282.97,81208.86,100664.92,79114.89
Ethereum,2022-12-08,LooksRare,329,232,330,77,4049130.23,11310.41964,144.47,998801.12,0.12
Ethereum,2022-12-08,NFTX,35,31,80,19,18222.17,224.9650617,45.85,5073.81,5.28
Ethereum,2022-12-08,OpenSea,25994,15050,11581,952,10083184.01,266.743843,37.36,124279.65,0.01
Ethereum,2022-12-08,Rarible,40,33,32,7,4311.89323,107.7973307,34.64905,842.166684,4.69E-13
Ethereum,2022-12-08,Sudoswap,347,280,515,54,199228.11,367.5795387,62.415,8417.9,2.47
Ethereum,2022-12-08,X2Y2,1009,760,1050,61,4898877.22,3934.841141,111.32,541356.51,0.49
Flow,2022-12-08,AeraPack,5,5,5,1,4.83617E-05,9.67233E-06,9.89847E-06,1.01554E-05,9.07616E-06
Flow,2022-12-08,ChainmonstersMarketplace,5,1,5,1,2.05,0.41,0.4,0.45,0.4
Flow,2022-12-08,FindMarketSale,43,17,43,1,162,3.76744186,4,9,2
Flow,2022-12-08,FlovatarMarketplace,75,17,72,2,941.1765848,12.54902113,5.118832952,142.8750563,0.513939051
Flow,2022-12-08,MatrixMarketOpenOffer,1,1,1,1,19.68386567,19.68386567,19.68386567,19.68386567,19.68386567
Flow,2022-12-08,MotoGPNFTStorefront,3,2,3,1,29.9531142,9.984371399,8.699519316,18.57681971,2.676775174
Flow,2022-12-08,NFTStorefront,4481,1328,4357,28,105236.8676,23.48513003,4,2825,0.01
Flow,2022-12-08,NFTStorefrontV2,2276,148,337,4,39304,17.26889279,10,1249,4
Flow,2022-12-08,OffersV2,2751,612,2743,1,35529,12.91494002,1,1050,1
Flow,2022-12-08,OlympicPinMarket,62,15,60,1,1441,23.24193548,10,198,1
Flow,2022-12-08,TheFabricantMarketplace,1,1,1,1,14.39029344,14.39029344,14.39029344,14.39029344,14.39029344
Flow,2022-12-08,TopShotMarketV3,6830,1581,6720,1,85279,12.48594436,2,1999,1
Flow,2022-12-08,ZeedzMarketplace,5,2,5,1,924.9875047,184.9975009,203.5198643,307.3355527,8.120237012
Gnosis,2022-12-08,Others,21,15,21,2,124.6460527,5.935526317,2.24336217,19.25653581,0.12126282
NEAR,2022-12-08,LandToEmpire,5,1,5,1,3.360272283,0.672054457,0.504040843,1.260102106,0.504040843
NEAR,2022-12-08,Mintbase,1,1,1,1,10.08081685,10.08081685,10.08081685,10.08081685,10.08081685
NEAR,2022-12-08,Others,1,1,1,1,13.44108913,13.44108913,13.44108913,13.44108913,13.44108913
NEAR,2022-12-08,Paras,218,101,204,26,1174.358492,5.38696556,0.859020007,100.8081685,0.016801361
NEAR,2022-12-08,TradePort,1,1,1,1,80.6465348,80.6465348,80.6465348,80.6465348,80.6465348
Optimism,2022-12-08,quixotic,3176,2557,2531,133,51188.17568,14.20315641,12.36,1251.84,0.12
Polygon,2022-12-08,BitKeep,255,234,678,25,29506.66601,35.80906069,12.6579845,315.5454708,0.90414175
Polygon,2022-12-08,NFTKEY,1,1,1,1,36.16567,36.16567,36.16567,36.16567,36.16567
Polygon,2022-12-08,Others,1690,718,1516,35,24438.04736,14.19166513,13.56212625,1826.366335,0.90414175
Polygon,2022-12-08,PlayDapp,127,35,1579,4,4283.823612,2.712997854,1.8082835,35.26152825,0.90414175
Polygon,2022-12-08,Seaport,980,465,4737,121,54145.43284,11.24749332,4.52070875,388.7809525,0.90414175
Polygon,2022-12-08,tofuNFT,156,69,2212,14,12932.84359,5.645064859,7.233134,198.0070433,0.90414175
Solana,2022-12-08,CoralCube,86,55,86,19,4067.453977,47.29597647,4.086123263,974.0759802,0.156108571
Solana,2022-12-08,Exchange.Art,1474,40,1474,1,15653.41134,10.61968205,0.028624035,5519.607554,0.028624035
Solana,2022-12-08,Hadeswap,2329,811,1952,73,272907.7475,116.5276462,81.17069932,2338.458724,0.493317469
Solana,2022-12-08,Hyperspace,358,174,334,20,37763.32176,105.484139,113.6389791,1176.97514,0.135284499
Solana,2022-12-08,Magic Eden,25825,5618,19864,1036,2372807.994,91.88027082,10.68747541,28396.21631,0.000135284
Solana,2022-12-08,OpenSea,27,18,27,12,501.8608469,18.58743878,2.840974476,209.6909732,0.0270569
Solana,2022-12-08,Solanart,33,24,32,14,849.1807994,25.7327515,15.15186387,162.3413986,0.676422494
Solana,2022-12-08,Yawww,270,129,11,6,8564.81955,31.72155389,0.56143067,994.3410667,0.01352845
Algorand,2022-12-07,AB2 Gallery,1,1,1,0,1.130871875,1.130871875,1.130871875,1.130871875,1.130871875
Algorand,2022-12-07,ALGOxNFT,268,105,264,62,3068.498162,11.28124324,2.137574018,678.5233512,0.022617438
Algorand,2022-12-07,Atomic Swaps,3,3,3,1,600.4929656,200.1643219,18.09395,581.0419694,1.35704625
Algorand,2022-12-07,Nfdomains,35,21,33,0,1156.429579,33.04084513,20.35569375,192.8136547,0.226174375
Algorand,2022-12-07,Rand Gallery,252,122,247,69,11318.97463,44.91656598,11.30871875,568.6023788,0.226174375
Algorand,2022-12-07,Shufl,2,2,2,2,62.19795313,31.09897656,31.09897656,33.92615625,28.27179688
Arbitrum,2022-12-07,Others,124,100,109,18,185973.1289,1499.783298,127.7218801,28276.06916,0.010072096
Arbitrum,2022-12-07,Seaport,1130,1077,1268,58,19768.5982,15.15996795,3.720535416,1240.178472,0.074410708
Arbitrum,2022-12-07,Smol Sweep,1,2,4,1,200.3166032,25.03957541,25.03957541,25.03957541,25.03957541
Arbitrum,2022-12-07,tofuNFT,229,182,226,32,2028.103541,8.779669009,0.804875828,494.8312104,0.012401785
Avalanche,2022-12-07,Element,64,64,16,2,4196.093583,65.56396224,58.243125,151.432125,12.94291667
Avalanche,2022-12-07,FarmLand,3,3,3,1,513.8337917,171.2779306,168.2579167,190.260875,155.315
Avalanche,2022-12-07,Nifty Protocol,9,8,9,5,106.4943183,11.83270204,6.471458333,38.82875,2.44621125
Avalanche,2022-12-07,Others,384,218,491,79,50908.85058,94.1013874,32.35729167,759.3479779,0.000129429
Avalanche,2022-12-07,Roostr,3,2,3,1,1046.952529,348.9841764,258.8583333,530.6595833,257.4346125
Avalanche,2022-12-07,Seaport,5,5,7,5,2128.462646,304.0660923,451.7077917,539.719625,14.88435417
Avalanche,2022-12-07,chikn,10,5,10,1,12744.2429,1274.42429,1211.780573,1549.267125,1190.748333
BSC,2022-12-07,Element,32,26,156,7,181688.1325,1114.65112,1395.454167,2232.726667,279.0908333
BSC,2022-12-07,MarketNG,25,18,25,6,15908.1775,636.3271,837.2725,837.2725,279.0908333
BSC,2022-12-07,Nifty Protocol,4,3,4,1,1116.363333,279.0908333,279.0908333,279.0908333,279.0908333
BSC,2022-12-07,Others,99,64,113,20,65028.16417,551.086137,279.0908333,3349.09,279.0908333
BSC,2022-12-07,Seaport,14,9,24,6,37956.35333,1581.514722,1534.999583,2790.908333,558.1816667
Ethereum,2022-12-07,Blur,3213,2202,3612,239,3325389.29,584.1189689,63.34,116721.55,0.12
Ethereum,2022-12-07,Larva Labs,7,7,7,1,606664.86,86666.40857,84598.19,104814.99,79194.83
Ethereum,2022-12-07,LooksRare,294,250,286,105,2702880.71,8775.586721,207.855,992765.36,0.12
Ethereum,2022-12-07,NFTX,23,22,61,15,42643.3,699.0704918,89.14,18432.68,8.8
Ethereum,2022-12-07,OpenSea,36394,17730,11945,936,12983222.98,251.0921728,33.17,84915.93,0.01
Ethereum,2022-12-07,Rarible,43,41,25,6,8664.884745,201.5089476,157.84576,1245.0472,1.2803568
Ethereum,2022-12-07,Sudoswap,459,338,759,52,375743.48,448.3812411,100.37,8034.22,3.94
Ethereum,2022-12-07,X2Y2,2013,1329,2092,57,5424648.62,1914.131482,23.675,614335,0.23
Flow,2022-12-07,AeraPack,9,9,9,1,9.07347E-05,1.00816E-05,1.00875E-05,1.05109E-05,9.61119E-06
Flow,2022-12-07,AniqueMarket,2,1,2,1,59,29.5,29.5,50,9
Flow,2022-12-07,BlockleteMarket_NFT_V2,2,1,2,1,47.04702822,23.52351411,23.52351411,45.04502702,2.002001201
Flow,2022-12-07,ChainmonstersMarketplace,7,2,7,1,2.842841705,0.406120244,0.45045027,0.490490294,0.15015009
Flow,2022-12-07,FindMarketSale,37,17,37,2,265.9108779,7.186780484,3,79,2
Flow,2022-12-07,FlovatarMarketplace,34,4,34,2,360.8218388,10.61240702,2.169927158,94.20659368,1.058501053
Flow,2022-12-07,MotoGPNFTStorefront,8,4,8,2,129.6990219,16.21237773,7.433984825,67.64317402,3.111586005
Flow,2022-12-07,NFTStorefront,7192,2010,6963,37,114331.8059,15.89708092,6,5500,0.01
Flow,2022-12-07,NFTStorefrontV2,2201,99,233,6,82592.3821,37.52493507,10,49999,3
Flow,2022-12-07,OffersV2,2102,530,2096,1,31712,15.08658421,1,3000,1
Flow,2022-12-07,OlympicPinMarket,72,20,72,1,694,9.638888889,6,75,1
