Blockchain,DEX,Days,Swaps,Swappers,Volume,AmountAverage,AmountMedian,Swaps/Day,Swappers/Day,Volume/Day,Swaps/Swapper,Volume/Swapper
BSC,Tripcandy,2,2,2,86.24214448,43.12107224,43.12107224,1,1,43,1,43
BSC,Phoenixco,6,14,10,1.529316306,0.109236879,0.113482854,2,2,0,1,0
BSC,Scrooge Coin,1,1,1,0.25877419,0.25877419,0.25877419,1,1,0,1,0
BSC,Biswap,8,21174,6440,11860236.54,560.1320745,80.94393961,2647,805,1482530,3,1842
BSC,Wegro,1,1,1,0.028631323,0.028631323,0.028631323,1,1,0,1,0
BSC,Busd Buffet,1,1,1,0.381622787,0.381622787,0.381622787,1,1,0,1,0
BSC,Crypto Chip Token,4,5,2,3.732595962,0.746519193,0.508727682,1,1,1,3,2
BSC,Dyor,2,2,2,13.01328253,6.506641266,6.506641266,1,1,7,1,7
BSC,Yieldzard,1,1,1,4.674322509,4.674322509,4.674322509,1,1,5,1,5
BSC,Evereth,7,15,12,17.41096489,1.160730992,0.155156541,2,2,2,1,1
BSC,Doge Floki,7,19,13,117.4216313,6.180085857,5.684219314,3,2,17,1,9
BSC,Boji,1,1,1,30.67000163,30.67000163,30.67000163,1,1,31,1,31
BSC,Volt Inu,7,16,14,25.42657715,1.589161072,0.263125598,2,2,4,1,2
BSC,Walk With Step,7,8,1,1265.004219,158.1255274,139.3282165,1,0,181,8,1265
BSC,Kaiken Shiba,5,7,4,0.011442304,0.001634615,0.001614684,1,1,0,2,0
BSC,Catcoin,8,35,27,779.8112882,22.28032252,5.125441841,4,3,97,1,29
BSC,Reward Hunters Token,1,1,1,2.048662808,2.048662808,2.048662808,1,1,2,1,2
BSC,Wana Moon,1,1,1,2.41461E-05,2.41461E-05,2.41461E-05,1,1,0,1,0
BSC,Bnbback,1,1,1,68.73117734,68.73117734,68.73117734,1,1,69,1,69
BSC,Firstonthemoon,1,1,1,2.569374074,2.569374074,2.569374074,1,1,3,1,3
BSC,Metapets,7,33,23,0.517890379,0.015693648,0.016117786,5,3,0,1,0
BSC,Restore Truth,2,2,1,13.11292541,6.556462706,6.556462706,1,1,7,2,13
BSC,Librium Tech,3,4,2,3.689418871,0.922354718,0.905858322,1,1,1,2,2
BSC,Clear Water,2,2,1,11.87775714,5.938878569,5.938878569,1,1,6,2,12
BSC,Helena Financial,1,1,1,0.992900824,0.992900824,0.992900824,1,1,1,1,1
BSC,Simba Inu,3,3,3,0.008633972,0.002877991,0.00080499,1,1,0,1,0
BSC,Spywolf,1,1,1,3.480988496,3.480988496,3.480988496,1,1,3,1,3
BSC,Urutoken,1,2,2,1.08E-09,5.41E-10,5.41E-10,2,2,0,1,0
BSC,Dexira,1,1,1,139.2058838,139.2058838,139.2058838,1,1,139,1,139
BSC,Everearn,1,3,2,792.823818,264.274606,263.7499841,3,2,793,2,396
BSC,Libero,1,1,1,46.46604371,46.46604371,46.46604371,1,1,46,1,46
BSC,Token Bank Exchange,2,2,2,2.840566048,1.420283024,1.420283024,1,1,1,1,1
BSC,Crusaders Of Crypto,1,1,1,0.203052844,0.203052844,0.203052844,1,1,0,1,0
BSC,Loop Network,8,72,26,6474.067765,89.91760785,39.47181848,9,3,809,3,249
BSC,Nomiswap,8,13072,5057,71597191.22,5477.141311,190.3616618,1634,632,8949649,3,14158
BSC,Saylor Moon,4,4,3,214.4695685,53.61739211,54.07795982,1,1,54,1,71
BSC,Santa Floki,1,1,1,450.5495075,450.5495075,450.5495075,1,1,451,1,451
BSC,Frog Inu,3,3,2,19.03303183,6.344343943,6.983594743,1,1,6,2,10
BSC,Xeph,1,2,1,0.109620626,0.054810313,0.054810313,2,1,0,2,0
