Blockchain,Day,Hour,Sales,Marketplaces,Buyers,NFTs,Collections,Volume,PriceAverage,PriceMedian,PriceMax,PriceFloor
NEAR,1.Monday,4,28,1,5,25,2,51.06774484,1.82384803,1.621219545,12.89701718,0.018184794
Algorand,1.Monday,4,58,2,30,58,26,1781.224026,30.71075907,9.676124069,762.0140208,0.172650605
Optimism,1.Monday,4,299,1,227,265,43,3157.95,10.21990291,12.45,123.6,0.12
Avalanche,1.Monday,4,26,6,22,30,12,1588.709049,52.95696831,38.3206087,279.2825,1.473869565
Flow,1.Monday,4,1503,6,564,1338,16,22635.4963,15.06021045,3,1000,0.482784059
Avalanche,1.Monday,5,30,8,24,29,16,2212.577536,73.75258453,51.06113406,396.470913,5.158543478
Flow,1.Monday,5,1287,8,438,1117,19,14133.30973,10.98159264,3,625,0.2
NEAR,1.Monday,5,11,1,4,11,2,45.73378263,4.157616603,3.24243909,14.47690179,0.019660373
Optimism,1.Monday,5,343,1,301,282,43,4991.233964,14.50940106,12.88,195.18,0.12
BSC,1.Monday,5,7,2,7,7,4,2827.626667,403.9466667,279.7529167,869.35625,279.7529167
Arbitrum,1.Monday,5,149,2,125,150,23,2320.368509,15.36667887,0.815045966,485.4228515,0.000125392
Polygon,1.Monday,5,353,10,158,1526,30,81752.02054,53.05127874,8.333961375,416.6980688,0.889321542
Algorand,1.Monday,5,46,3,26,46,20,678.1048012,14.74140872,5.420423448,217.5007911,0.021771829
Solana,1.Monday,5,1862,8,588,1821,232,132644.1233,71.23744536,7.713346802,6053.403548,0.039523551
Ethereum,1.Monday,5,2520,7,1867,2916,238,1705273.749,414.3036319,37.135,81990.23,1.25E-14
Avalanche,1.Monday,6,18,6,13,34,10,3446.325232,101.3625068,14.48813783,368.4673913,4.421608696
Arbitrum,1.Monday,6,80,3,74,81,25,1431.361131,17.45562355,18.68336138,216.5121718,0.075235012
Solana,1.Monday,6,1863,6,590,1557,231,159448.5921,85.58700596,27.13594694,5445.423076,0.092221618
Flow,1.Monday,6,978,7,361,811,15,11922.8579,12.19106125,4,2000,0.24024018
Algorand,1.Monday,6,42,4,17,42,12,417.7155581,9.945608526,0.021771829,111.8733542,0.000217718
Ethereum,1.Monday,6,2270,7,1719,2742,233,1690871.445,465.0361509,35.005,97278.48,0.01
BSC,1.Monday,6,11,5,9,11,7,7953.471667,723.0428788,289.7854167,1958.270417,279.7529167
Polygon,1.Monday,6,382,12,181,2091,35,57296.84063,27.27122353,4.629978542,183.3471503,0.889321542
Optimism,1.Monday,6,463,1,402,368,31,5457.182061,11.51304232,12.47,199.55,0.13
NEAR,1.Monday,6,3,1,3,3,2,33.95508474,11.31836158,1.742940825,30.4692031,1.742940825
Algorand,1.Monday,7,54,3,22,54,11,568.1583141,10.52145026,7.622317391,108.205991,0.023949012
Solana,1.Monday,7,2036,7,575,1759,229,155514.1552,76.34470061,9.741109158,5441.105258,0.117253201
NEAR,1.Monday,7,13,1,7,13,4,118.750444,9.13464954,0.114912423,95.86174536,0.018184794
Avalanche,1.Monday,7,34,8,25,34,13,2033.512319,54.95979242,51.86675,292.5816667,0.147386957
Arbitrum,1.Monday,7,159,6,134,174,30,99463.19993,568.3611425,2.63322543,97666.14672,0.075235012
Flow,1.Monday,7,824,4,291,660,11,10553.90311,12.80813484,4,1200,1
Ethereum,1.Monday,7,2017,7,1541,2430,230,1213254.581,375.2720635,35.39,105735.46,0.01
BSC,1.Monday,7,24,4,14,31,7,24920.38875,778.7621484,559.5058333,2028.497917,279.7529167
Polygon,1.Monday,7,335,13,167,1296,36,8739.08437,6.706895142,6.225250792,61.36318638,0.889321542
Optimism,1.Monday,7,529,1,460,388,39,6608.797918,11.82253653,12.46,90.7243675,0.13
NEAR,1.Monday,8,30,1,16,20,4,213.0894675,7.102982249,0.891130785,116.7770353,0.018184794
Optimism,1.Monday,8,401,1,362,347,31,5166.99,11.79678082,12.98,181.76,0.13
Solana,1.Monday,8,2276,6,600,1970,224,133649.2828,58.59240808,6.587258457,9267.96957,0.079047101
BSC,1.Monday,8,9,5,8,11,5,4866.157083,442.3779167,279.7529167,869.35625,279.7529167
Ethereum,1.Monday,8,2007,7,1546,2333,226,1582410.515,503.6316088,37.42,249464,0.12
Polygon,1.Monday,8,279,11,153,782,29,11599.98217,14.64644214,7.114572333,80.92826029,0.889321542
Flow,1.Monday,8,697,7,246,535,12,11142.31464,15.98610422,5,2250,1
Avalanche,1.Monday,8,22,6,20,24,10,1790.323358,74.59680659,53.19666667,265.9833333,0.166239583
Algorand,1.Monday,8,67,2,9,67,1,514.5892519,7.680436595,1.209683555,362.5906117,0.26888209
Arbitrum,1.Monday,8,205,5,173,239,34,5053.032655,20.62462308,5.642625921,852.6634726,0.012811371
Ethereum,1.Monday,9,2115,7,1526,2476,206,1887236.558,561.1764966,45.45,247039.97,0.13
Solana,1.Monday,9,1960,7,691,1820,235,103547.3793,52.83029554,8.348965361,4035.602365,0.040356024
Arbitrum,1.Monday,9,190,5,179,235,32,2516.319217,10.44115858,6.866894917,75.23501229,0.075235012
BSC,1.Monday,9,15,5,11,15,7,7993.601667,532.9067778,289.7854167,1119.011667,279.7529167
Flow,1.Monday,9,677,6,237,513,12,6175.666076,9.122106463,4,445,1
Algorand,1.Monday,9,29,2,11,29,6,240.7794298,8.302738959,2.056050833,48.33346075,0.023949012
NEAR,1.Monday,9,21,1,5,21,5,206.7734135,9.846353025,6.971763299,17.9522905,3.48588165
Gnosis,1.Monday,9,3,1,1,3,1,4.37945934,1.45981978,1.499814842,1.979755592,0.899888905
Avalanche,1.Monday,9,28,8,28,36,17,9394.354026,240.8808725,36.84673913,5895.478261,0.265983333
Polygon,1.Monday,9,376,12,192,886,42,6180.136421,6.874456531,4.446607708,277.7987125,0.889321542
Optimism,1.Monday,9,425,1,359,324,37,5357.751356,12.01289542,12.54,97.2,0.13
Avalanche,1.Monday,10,30,9,24,34,18,6403.439092,182.9554026,11.96925,3723.766667,0.079795
Algorand,1.Monday,10,20,2,17,20,10,178.6910612,8.934553062,1.305471335,113.2135117,0.026607717
Solana,1.Monday,10,2044,7,632,1913,216,115199.0704,56.27702513,5.22540927,6373.468563,0.069579351
Polygon,1.Monday,10,439,14,221,1176,44,25645.0961,21.55050092,4.629978542,222.3303854,0.889321542
Optimism,1.Monday,10,289,1,255,232,32,4056.246848,13.9870581,12.93,162.86,0.31
Ethereum,1.Monday,10,2003,7,1465,2403,203,1134571.269,352.3513257,31.585,18791.85,1.25E-14
BSC,1.Monday,10,17,5,10,17,8,9921.774583,583.633799,289.7854167,3357.035,279.7529167
Flow,1.Monday,10,727,4,258,563,11,10754.13718,14.79248581,4,650,1
Gnosis,1.Monday,10,1,1,1,1,1,15.23594555,15.23594555,15.23594555,15.23594555,15.23594555
NEAR,1.Monday,10,10,1,7,10,5,40.40864915,4.040864915,2.919332766,19.34552578,0.018184794
Arbitrum,1.Monday,10,191,6,169,268,31,4827.600411,17.42816033,5.274441488,225.2239042,0.075235012
Flow,1.Monday,11,770,7,298,608,14,7514.510722,9.759104834,4,425,0.940621518
Ethereum,1.Monday,11,1991,7,1587,2198,218,6196231.307,2082.066971,46.755,1047895.2,0.01
Optimism,1.Monday,11,471,1,432,306,35,5769.24,11.84648871,12.55,60.26,0.13
Arbitrum,1.Monday,11,158,5,134,193,38,8153.290528,41.59842106,8.463938882,4379.931632,1.25392E-06
Polygon,1.Monday,11,439,15,196,1212,40,53624.56256,43.81091712,3.557286167,799.500066,0.889321542
BSC,1.Monday,11,11,7,9,14,9,5945.03875,424.645625,289.7854167,1958.270417,279.7529167
Solana,1.Monday,11,1700,6,642,1568,240,120734.7823,71.0204602,13.91587023,4756.000606,0.012524283
Algorand,1.Monday,11,22,4,20,22,12,318.853741,14.49335186,4.077057486,96.513445,0.023949012
Avalanche,1.Monday,11,29,8,24,60,20,5261.586598,87.69310997,17.31796739,1282.266522,0.006649583
NEAR,1.Monday,11,5,1,5,5,5,191.9837205,38.3967441,16.64508488,128.9701718,3.48588165
Optimism,1.Monday,12,493,1,446,295,39,6567.07,12.75159223,12.55,213.29,0.13
Flow,1.Monday,12,988,8,340,823,14,10507.85366,10.63547942,3,886.9753647,0.001122754
Avalanche,1.Monday,12,21,5,18,28,9,1004.617649,33.48725496,11.95207971,154.2703333,0.117909565
Algorand,1.Monday,12,35,3,20,35,7,2382.628278,68.07509365,7.622317391,653.154875,0.000435437
BSC,1.Monday,12,47,3,4,1086,3,455132.4996,419.0906994,289.7854167,1119.011667,289.7854167
Solana,1.Monday,12,2191,7,753,2044,242,125954.0909,57.48703372,9.22216184,5566.34809,1.32E-07
Ethereum,1.Monday,12,2198,8,1746,2381,211,1355982.622,416.0732194,45.22,116485.2,1.27E-10
NEAR,1.Monday,12,15,2,6,11,3,10.76779454,0.71785297,0.019660373,6.448508592,0.019660373
Polygon,1.Monday,12,380,14,198,705,49,4901.328934,6.864606351,2.667964625,444.47794,0.889321542
Arbitrum,1.Monday,12,178,4,169,191,29,6212.279314,32.02205832,19.31031982,1730.405283,0.075235012
Arbitrum,1.Monday,13,136,3,114,151,30,4608.974828,30.5230121,8.652026413,1055.884526,0.075235012
NEAR,1.Monday,13,59,2,25,49,8,561.4079225,9.515388516,0.037089781,74.1578488,0.019660373
Flow,1.Monday,13,983,7,389,816,17,16776.76134,17.06689862,4,3500,0.500500375
Solana,1.Monday,13,3073,8,806,2315,272,158915.5366,51.71348408,13.91587023,4650.604471,0.013174517
