Blockchain,Date,Swaps,Swappers,Volume,AmountAverage,AmountMedian
Algorand,2022-12-19,13254,1073,854610.26,62.33481109,3.835460569
Arbitrum,2022-12-19,68702,21834,57761574.07,840.7553503,1.224955176
Avalanche,2022-12-19,20792,5899,9412318.354,452.6894168,56.73227984
BSC,2022-12-19,481226,150239,130512491.9,271.2083135,39.08277618
Ethereum,2022-12-19,46770,765,844589350.1,14176.19507,600.3692051
Flow,2022-12-19,265,98,128858.7213,239.9603749,92.11897026
Gnosis,2022-12-19,1759,361,142789.6312,81.17659532,3.691625151
NEAR,2022-12-19,2455,256,2000750.052,650.6504233,21.47178378
Optimism,2022-12-19,45273,14028,49739295.84,1098.652527,25.63364824
Osmosis,2022-12-19,1249,548,184561.8581,147.7677007,7.384172962
Polygon,2022-12-19,85213,23468,54240354.03,636.526751,15.74907671
Solana,2022-12-19,121583,5759,7832524.387,64.3767364,1.001566461
THORChain,2022-12-19,14883,517,16876535.11,711.8798292,399.1593975
Algorand,2022-12-18,10740,910,692658.901,62.84900653,3.882825425
Arbitrum,2022-12-18,75699,25447,36088887.07,476.7419262,0.205981521
Avalanche,2022-12-18,14018,5477,8246484.359,588.2782393,29.47639663
BSC,2022-12-18,446947,136147,128632498,287.8025761,40.8670261
Ethereum,2022-12-18,45160,666,468077553.4,8158.356632,495.0553135
Flow,2022-12-18,238,107,64933.50766,204.1934203,54.21803402
Gnosis,2022-12-18,1427,257,90632.9,63.51289418,1.102964075
NEAR,2022-12-18,1150,205,1312723.84,914.1530923,23.77894743
Optimism,2022-12-18,43406,14828,35457860.58,816.8884621,21.94166142
Osmosis,2022-12-18,13029,4271,2684669.868,206.0375954,8.198347829
Polygon,2022-12-18,91045,28724,31528359.29,346.2942423,1.009794146
Solana,2022-12-18,74528,5240,5376505.165,72.10494421,1.001451288
THORChain,2022-12-18,11037,398,10448743.27,569.0416767,392.5097935
Algorand,2022-12-17,16706,1148,1550986.317,89.61094968,3.699914457
Arbitrum,2022-12-17,60889,19341,40430047.62,663.9959207,7.991403109
Avalanche,2022-12-17,17809,5892,10901926.39,612.1582565,46.14131779
BSC,2022-12-17,510444,156858,247798372.6,485.4565293,50.28110567
Ethereum,2022-12-17,59720,786,898230156.9,11759.24798,500.7691396
Flow,2022-12-17,354,115,160041.0745,264.9686665,46.58809367
Gnosis,2022-12-17,1970,333,100317.765,50.92272334,2.251058375
NEAR,2022-12-17,1847,245,2659017.567,1157.100769,32.32906662
Optimism,2022-12-17,51055,14736,49785668,975.1379493,25.08315406
Osmosis,2022-12-17,14269,4256,3248204.26,227.5927873,11.531529
Polygon,2022-12-17,80950,24460,42663269.23,527.0323561,16.59437177
Solana,2022-12-17,114541,5792,10956168.06,95.57854013,3.004113449
THORChain,2022-12-17,18523,475,19402281.88,634.6214595,400.6963865
Algorand,2022-12-16,25909,1239,3873105.137,142.6558062,5.561569059
Arbitrum,2022-12-16,77462,19969,84966363.07,1096.877993,21.95726368
Avalanche,2022-12-16,23180,5923,12322987.36,531.6215427,75.35367186
BSC,2022-12-16,579017,168451,291037822.1,502.6412386,49.26075477
Ethereum,2022-12-16,68382,1082,1474303214,16266.01955,720.45
Flow,2022-12-16,447,124,178013.5923,233.3074604,54.14368691
Gnosis,2022-12-16,4601,467,245624.2434,53.38496921,1.236193317
NEAR,2022-12-16,2608,271,4119492.587,1267.926312,50.27810973
Optimism,2022-12-16,52732,14020,77860012.02,1476.523022,37.41171632
Osmosis,2022-12-16,18219,4460,6219707.789,341.3483227,28.16832496
Polygon,2022-12-16,101341,28880,84084803.23,829.7214674,29.99922969
Solana,2022-12-16,150341,6931,22774977.28,151.3327748,3.939721942
THORChain,2022-12-16,21809,454,27174595.12,779.132838,427.0120258
Algorand,2022-12-15,13011,980,802592.5307,59.49536921,3.272812096
Arbitrum,2022-12-15,69776,24403,44700450.89,640.6278791,1.983763122
Avalanche,2022-12-15,20015,7462,12324733.6,615.7748491,34.79536892
BSC,2022-12-15,539789,188968,233181622.1,431.9866135,35.11730335
Ethereum,2022-12-15,53137,880,949870590,13713.96835,524.93
Flow,2022-12-15,326,130,144502.9878,258.965928,59.08882458
Gnosis,2022-12-15,2525,417,116929.4818,46.30870567,1.687905441
NEAR,2022-12-15,1364,239,3145985.537,1896.314369,24.85185609
Optimism,2022-12-15,47824,15514,37889403.19,792.2675474,25.6370374
Osmosis,2022-12-15,12693,4069,3334333.387,262.5045967,12.82139957
Polygon,2022-12-15,78923,26916,42434708.73,537.6722721,10.84201695
Solana,2022-12-15,125115,5800,12202504.65,97.44541504,3.013631356
THORChain,2022-12-15,13601,429,15492697.54,773.8610158,434.2750584
Algorand,2022-12-14,8486,1019,404516.3496,46.68932937,2.386025176
Arbitrum,2022-12-14,69100,20820,72063848.18,1042.892159,11.0758501
Avalanche,2022-12-14,27152,11278,15328071.46,564.5282653,15.0176595
BSC,2022-12-14,506613,169772,257764568.3,508.7997511,44.59946185
Ethereum,2022-12-14,55538,887,1238650510,16983.16985,634.2952554
Flow,2022-12-14,275,139,121077.9663,240.7116625,49.97112622
Gnosis,2022-12-14,2379,308,158405.4566,66.58489138,1.537574808
NEAR,2022-12-14,1740,230,3040343.613,1517.894964,59.96483857
Optimism,2022-12-14,63691,18652,71042438.79,1115.42351,24.99098664
Osmosis,2022-12-14,1909,588,852995.5886,444.9637916,24.2669962
Polygon,2022-12-14,92172,29606,63105070.23,684.6446885,7.34371579
Solana,2022-12-14,182576,6350,17466441.87,95.62740894,1.002730909
THORChain,2022-12-14,19247,532,22933643.51,791.3883679,437.3123517
