Blockchain,Date,Swaps,Swappers,Volume,AmountAverage,AmountMedian
Algorand,2022-12-13,15313,1085,767389.4136,48.65208988,2.652128881
Arbitrum,2022-12-13,82822,23043,112631050.7,1359.917059,10.49697553
Avalanche,2022-12-13,22712,6057,20132120.04,886.4089484,98.4362218
BSC,2022-12-13,561861,174228,363895499.2,647.6610749,49.85925589
Ethereum,2022-12-13,64212,1118,2234041687,26057.52244,846.7134814
Flow,2022-12-13,295,116,96483.96192,225.4298176,36.34251573
Gnosis,2022-12-13,3589,293,225530.5741,62.83939096,1.868621768
NEAR,2022-12-13,2224,232,3311476.163,1222.849396,59.89173012
Optimism,2022-12-13,55464,15044,69375266.43,1250.816141,25.39936505
Osmosis,2022-12-13,18307,4919,6178567.968,337.4791331,22.35529393
Polygon,2022-12-13,118965,37808,81768221.49,687.3300676,1.142688133
Solana,2022-12-13,208248,6326,13275568.02,63.72007573,1.001033733
THORChain,2022-12-13,17336,462,20033071.55,702.7421878,416.5423419
Algorand,2022-12-12,14793,1122,838233.8259,55.11070519,4.00558444
Arbitrum,2022-12-12,78242,28833,75906073.5,970.1448519,8.752329254
Avalanche,2022-12-12,19628,5987,10101543.98,514.6496833,35.13014108
BSC,2022-12-12,466569,157901,281193354.6,602.6833215,44.96201733
Ethereum,2022-12-12,55228,808,928457351.7,12934.40349,581.57
Flow,2022-12-12,400,129,116366.4875,180.1338816,49.03317629
Gnosis,2022-12-12,1993,301,129074.8847,64.76411678,1.837196283
NEAR,2022-12-12,1592,274,2275574.655,1176.615644,34.06521953
Optimism,2022-12-12,43581,14284,38688527.35,887.7384033,21.99645934
Osmosis,2022-12-12,18465,5117,6284015.156,340.2650615,13.52521149
Polygon,2022-12-12,74913,22495,45880893.04,612.4556891,15.36595172
Solana,2022-12-12,103208,5690,7007068.258,67.85520998,1.01733176
THORChain,2022-12-12,12003,305,12476813.61,651.8370834,413.6863595
