Blockchain,Day,Hour,Transfers,Users,Volume,AmountAverage,AmountMedian
Arbitrum,5.Friday,9,7213,2188,27033237.18,2382.412724,107.734486
NEAR,5.Friday,9,11,7,778.95628,70.81420727,16.365027
BSC,5.Friday,9,2549,817,15116296.06,3899.973183,9.903828601
Flow,5.Friday,10,20,12,5030.328089,179.6545746,306
Optimism,5.Friday,10,11012,2736,20211206.13,949.9532868,25.000011
Arbitrum,5.Friday,10,7120,2022,23431245.3,2069.715157,99.777268
Algorand,5.Friday,10,410,135,1995471.542,4619.147089,4.51891
Solana,5.Friday,10,20014,2571,17024693.3,497.21651,3.1857935
BSC,5.Friday,10,1995,955,13551151.77,4195.403026,57.76309661
Osmosis,5.Friday,10,49,25,27913.50319,569.6633304,91.924413
NEAR,5.Friday,10,4,3,142.060697,35.51517425,21.1934505
Polygon,5.Friday,10,21250,4018,30545497.12,1049.853828,1.999599
Axelar,5.Friday,10,24,23,17279.11502,719.9631259,147.9936585
Avalanche,5.Friday,10,964,424,3585186.314,2388.531855,95.802653
Ethereum,5.Friday,10,4023,2419,1181248487,227206.8643,996.8
Gnosis,5.Friday,10,55,35,13057.38454,99.67469117,13.760064
BSC,5.Friday,11,2698,1588,19708218.39,4877.064685,100
Solana,5.Friday,11,20550,2705,17244387.86,474.8034875,3.408164
Algorand,5.Friday,11,359,111,729206.7064,1924.028249,14.895155
Gnosis,5.Friday,11,51,36,35851.07861,426.7985549,4.366543
Optimism,5.Friday,11,10943,2679,22029762.37,950.0911017,23.998137
Flow,5.Friday,11,4,3,1701.27297,283.545495,172.5
Osmosis,5.Friday,11,61,35,62663.46096,1044.391016,125.7291265
Arbitrum,5.Friday,11,7823,2036,27929098.95,2163.704598,149.905764
NEAR,5.Friday,11,13,9,2581.77504,198.59808,25.415904
Axelar,5.Friday,11,29,25,50990.98024,1758.309663,365.302938
Avalanche,5.Friday,11,887,388,1511929.233,1094.807554,115.896629
Ethereum,5.Friday,11,4358,2590,1202149337,213525.6371,809.279694
Polygon,5.Friday,11,22225,3689,31256537,1031.875376,1.670528
BSC,5.Friday,12,2154,1124,13519347.34,4125.525584,84.086008
Optimism,5.Friday,12,11857,2527,27673688.42,1060.782292,30
Gnosis,5.Friday,12,32,32,5193.59665,92.74279732,1.3455145
Solana,5.Friday,12,20551,2685,17361946.7,466.0675051,4.517455
Ethereum,5.Friday,12,4313,2425,601981356.9,107095.0644,1000
Axelar,5.Friday,12,24,22,20981.28071,874.2200296,34.547345
Arbitrum,5.Friday,12,7600,2207,21843437.3,1780.231239,115.522948
Polygon,5.Friday,12,22609,3526,32677100.82,1043.396795,1.6495415
Algorand,5.Friday,12,576,167,13684370.37,21930.08072,22.541677
Flow,5.Friday,12,8,6,21284.48612,2128.448612,31
NEAR,5.Friday,12,18,6,4845.026849,269.1681583,33.056885
Avalanche,5.Friday,12,1188,430,2415572.079,1278.080465,95.2958255
Osmosis,5.Friday,12,43,21,23891.93317,555.6263529,88.425524
Solana,5.Friday,13,31037,2982,22993163.67,432.2429489,6.003247
Axelar,5.Friday,13,27,26,31505.35409,1166.864966,300.477243
Ethereum,5.Friday,13,5467,2701,1733939629,244664.8269,1150
Flow,5.Friday,13,27,8,10720.07333,261.4652031,322
BSC,5.Friday,13,2045,916,11893549.86,3693.649026,80.26256452
Algorand,5.Friday,13,861,166,1271714.984,1363.038568,99.607264
NEAR,5.Friday,13,44,14,3040.526922,69.10288459,0
Arbitrum,5.Friday,13,10191,2363,53269235.56,3360.623024,315
Polygon,5.Friday,13,24613,3690,53023659,1480.900963,7.358526
Osmosis,5.Friday,13,43,23,22921.23245,533.0519175,150.77207
Avalanche,5.Friday,13,1688,538,10198132.53,3550.8818,198.75
Optimism,5.Friday,13,13813,2482,64221981.84,1601.306085,47.7393375
Gnosis,5.Friday,13,120,50,24871.28313,124.3564157,0.963093
NEAR,5.Friday,14,41,12,2079.636784,50.72284839,0
Gnosis,5.Friday,14,93,45,19917.77856,152.0441111,0.996286
Polygon,5.Friday,14,23756,3810,35560432.7,1089.207078,2
Flow,5.Friday,14,5,4,1505.111216,250.8518693,249.5
Algorand,5.Friday,14,470,163,2804986.611,5655.214941,28.844615
Ethereum,5.Friday,14,5344,3248,1379730334,204465.0762,1200
Avalanche,5.Friday,14,1269,520,5447853.113,2610.375234,147.78809
Solana,5.Friday,14,25186,3118,18669860,434.6072909,3.7426555
Osmosis,5.Friday,14,74,36,73992.38653,999.8971153,212.3541695
Arbitrum,5.Friday,14,7900,2215,30556933.74,2315.094609,151.1173
BSC,5.Friday,14,1867,874,50357426.8,17175.11146,48.94654395
Optimism,5.Friday,14,11182,2731,39413294.75,1341.090025,30.806353
Axelar,5.Friday,14,29,29,37314.12262,1286.693884,260.181807
NEAR,5.Friday,15,17,7,291.301766,17.135398,16.792626
Osmosis,5.Friday,15,93,33,426529.5102,4537.547981,129.566581
BSC,5.Friday,15,1914,863,12926763.46,3666.126904,34.89139197
Algorand,5.Friday,15,2080,224,7791015.851,3668.086559,0.066667
Arbitrum,5.Friday,15,7921,2397,21565951.51,1615.669127,60
Gnosis,5.Friday,15,177,87,20655.32234,85.00132652,2.427323
Ethereum,5.Friday,15,4571,2544,841656732.7,144664.2717,1000
Axelar,5.Friday,15,53,40,211007.7313,3981.277949,377
Avalanche,5.Friday,15,4191,1062,66146021.46,12192.81502,25.328631
Flow,5.Friday,15,14,5,4352.693703,197.8497138,372.5
Solana,5.Friday,15,24336,2904,25065164,588.2046324,2.279421
Polygon,5.Friday,15,23759,4005,36081041.36,1099.294417,2
Optimism,5.Friday,15,10281,2806,30459439.91,1389.06603,25
Ethereum,5.Friday,16,3774,2206,1692330585,356881.1862,1000
Flow,5.Friday,16,16,10,1606304.091,80315.20456,37
Optimism,5.Friday,16,7453,2153,27252534.4,1625.367352,26
Polygon,5.Friday,16,23018,3821,28148370.79,857.946624,1.019468
Solana,5.Friday,16,22713,2892,33529893.23,832.4410545,2.165674
Axelar,5.Friday,16,51,43,75874.13517,1487.728141,316.313412
Gnosis,5.Friday,16,688,105,127747.1694,128.518279,1.22254
Arbitrum,5.Friday,16,9324,2917,19751932.85,1255.845171,12
NEAR,5.Friday,16,13,6,999.92996,76.91768923,21.238057
Algorand,5.Friday,16,1116,181,8522073.284,7340.287066,8.769329
Avalanche,5.Friday,16,4614,1230,14791410.75,2509.570878,15.5780265
Osmosis,5.Friday,16,82,27,91317.2514,1113.625017,98.410382
BSC,5.Friday,16,1900,1007,13746452.59,4789.704735,86.36953002
Solana,5.Friday,17,25677,2758,59672315.54,1268.678974,2.000214
Optimism,5.Friday,17,6647,1478,29816802.54,1613.026916,50.29
Flow,5.Friday,17,13,8,11992.63354,799.5089024,466
BSC,5.Friday,17,1475,718,10379052.01,4348.157523,57.57173203
Polygon,5.Friday,17,22802,3798,26817529.6,848.7903022,1.835783
Arbitrum,5.Friday,17,5922,1918,22551674.24,2303.777121,47.05281
Axelar,5.Friday,17,40,33,32284.53294,807.1133234,521.001431
Ethereum,5.Friday,17,4551,2671,1342123355,228602.1725,813.147882
Osmosis,5.Friday,17,66,29,59439.02623,900.5913065,181.1253885
Avalanche,5.Friday,17,3668,1033,3798118.915,793.4236295,25
Gnosis,5.Friday,17,497,111,76866.10597,104.579736,2.153128
Algorand,5.Friday,17,832,155,212041.5942,246.2736286,7.217921
NEAR,5.Friday,17,17,10,195.826798,11.51922341,1.48512
Flow,5.Friday,18,18,12,23949.65445,997.9022689,10006
BSC,5.Friday,18,1429,705,6248209.143,2630.824902,65
Optimism,5.Friday,18,6077,1446,22789782.84,1482.648028,31.1519
Osmosis,5.Friday,18,76,43,121493.1905,1619.909206,179.705537
Algorand,5.Friday,18,1063,141,228184.9965,211.0869532,3.736561
Avalanche,5.Friday,18,2834,895,4160425.079,1147.070604,25.1
Axelar,5.Friday,18,54,42,125965.0797,2332.686661,357.3827785
Solana,5.Friday,18,26076,2687,13644758.16,283.9995455,1.001596
Polygon,5.Friday,18,23115,4241,17323843.03,563.1938568,1
Ethereum,5.Friday,18,4361,2629,592725966.8,105093.2565,998
NEAR,5.Friday,18,23,17,5822.689765,253.1604246,0.172613
Gnosis,5.Friday,18,249,65,34823.31949,100.06701,4.933418
Arbitrum,5.Friday,18,6118,1908,20317792.5,2070.497554,38.989003
Arbitrum,5.Friday,19,5579,1657,25403931.01,2791.027358,101.4001355
Ethereum,5.Friday,19,4133,2600,721296645.5,131121.0045,1000
Optimism,5.Friday,19,5015,1226,24561566.98,1933.068391,48.822438
Algorand,5.Friday,19,2063,130,3195799.591,1523.986453,7.641216
BSC,5.Friday,19,1308,626,7060812.469,3250.83447,63.905
Solana,5.Friday,19,15536,2398,18668836.75,682.1909213,3.362144
Avalanche,5.Friday,19,2255,702,2857778.863,914.1966932,25.5
Axelar,5.Friday,19,40,33,35593.68661,868.1386978,479.204013
Gnosis,5.Friday,19,70,49,11196.66626,99.97023448,2.8497855
NEAR,5.Friday,19,11,10,114.486121,10.40782918,0.17251
Osmosis,5.Friday,19,49,34,39211.36493,800.2319374,239.226036
Polygon,5.Friday,19,24202,4648,28387547.26,835.1734997,1
Flow,5.Friday,19,11,9,2020.798795,168.3998996,418
Flow,5.Friday,20,14,8,188780.2659,13484.30471,13
Avalanche,5.Friday,20,2124,654,8983679.923,2928.187719,26.874795
Axelar,5.Friday,20,43,22,40306.7431,916.0623431,280.709057
Optimism,5.Friday,20,4180,1188,27602036.65,2427.406266,41.983235
BSC,5.Friday,20,1080,562,3040668.118,1755.582054,89.50531892
NEAR,5.Friday,20,5,2,9991.989316,1998.397863,22.931241
Ethereum,5.Friday,20,4067,2554,948059636,181794.7528,1000.093505
Polygon,5.Friday,20,24010,4419,31425371.68,949.7800246,1.018371
Arbitrum,5.Friday,20,5028,1426,17355305.65,2111.351053,103.970421
Algorand,5.Friday,20,1061,112,1207663.892,1096.879103,12.38604
Solana,5.Friday,20,16732,2379,13049861.9,436.0127598,3.4050265
Osmosis,5.Friday,20,62,23,27173.7683,424.5901296,200
Gnosis,5.Friday,20,220,67,15563.8835,48.63713593,0.999666
Axelar,5.Friday,21,43,35,53619.90833,1218.63428,100.4
Solana,5.Friday,21,14920,2244,13922326.75,516.4259338,3.056371
Ethereum,5.Friday,21,4586,2485,1455825789,235570.5159,753.102958
NEAR,5.Friday,21,10,4,155.067879,15.5067879,14.985404
Flow,5.Friday,21,18,13,4030.160406,155.0061695,241.5
Osmosis,5.Friday,21,62,30,53897.50095,869.3145315,64.752335
Algorand,5.Friday,21,936,133,1715095.613,1741.21382,1.633129
Arbitrum,5.Friday,21,4469,1314,14513781.2,2048.5224,88.036247
Avalanche,5.Friday,21,2085,742,5244678.278,1592.191341,26
BSC,5.Friday,21,954,498,2688005.543,1505.885458,42.68531721
Polygon,5.Friday,21,23950,5031,29580265.41,840.2290984,0.5
Optimism,5.Friday,21,4412,1113,19628655.2,1493.582042,31.031
Gnosis,5.Friday,21,78,49,21992.33143,160.5279666,5.093069
Osmosis,5.Friday,22,45,22,61641.09078,1369.802017,206.92606
Arbitrum,5.Friday,22,3664,1289,21733572.82,3645.349349,68.5929195
Solana,5.Friday,22,15176,2159,11983998.07,434.0298457,2.477062
Optimism,5.Friday,22,4573,1228,12629622.61,1121.835371,21
Flow,5.Friday,22,12,8,403.4622439,19.21248781,20
Avalanche,5.Friday,22,1823,781,11888449.03,3790.959512,4.999999
Polygon,5.Friday,22,21998,4557,24888880.82,781.6614058,0.199479
Axelar,5.Friday,22,27,24,123158.1643,4561.413492,400
Algorand,5.Friday,22,779,96,41349.14076,51.81596587,1.027968
BSC,5.Friday,22,963,489,2467154.378,1390.729638,34.59498229
Gnosis,5.Friday,22,28,23,15347.02321,393.5134156,49.275039
Ethereum,5.Friday,22,4035,2231,1307234930,241320.8289,687.040753
NEAR,5.Friday,22,14,3,365.421038,26.10150271,27.784755
Algorand,5.Friday,23,1334,127,151672.8335,112.350247,0.033333
Ethereum,5.Friday,23,3564,2005,662215380,140866.9177,772.4721
BSC,5.Friday,23,907,440,2369207.643,1286.21479,20.19954362
Polygon,5.Friday,23,21898,3563,18185055.87,550.0289115,0.5
NEAR,5.Friday,23,11,8,1984.028474,180.3662249,0
Axelar,5.Friday,23,41,33,31791.54079,775.403434,136
Solana,5.Friday,23,14903,2126,13916688.18,512.9819817,2.346585
Gnosis,5.Friday,23,56,30,8699.721784,101.1595556,2.3431805
Optimism,5.Friday,23,4823,1099,19776674.16,1712.711021,21
Flow,5.Friday,23,5,4,1257.31228,179.61604,242
Osmosis,5.Friday,23,37,22,26049.44288,704.0389968,80
Arbitrum,5.Friday,23,3569,1091,31587424.41,5413.440344,70.279362
Avalanche,5.Friday,23,1775,722,4791399.695,1664.836586,17.872604
Solana,6.Saturday,0,18154,1907,13967691.04,415.0010708,2.770177
Flow,6.Saturday,0,17,11,4903.382193,181.6067479,30
Avalanche,6.Saturday,0,1999,778,9061499.379,2715.462805,13.443614
Ethereum,6.Saturday,0,3437,1823,1129643508,244935.7128,1000
Arbitrum,6.Saturday,0,3987,1118,20174678.18,3224.337251,142.134121
Axelar,6.Saturday,0,30,23,41189.1159,1372.97053,1000
NEAR,6.Saturday,0,11,3,1877.349731,170.6681574,26.627188
Optimism,6.Saturday,0,6172,1293,19743863.46,1132.361979,21.0057815
Osmosis,6.Saturday,0,45,25,37958.62714,843.5250476,239.780544
Gnosis,6.Saturday,0,40,28,205327.6691,4775.062073,0.992047
Algorand,6.Saturday,0,452,90,440100.8196,909.299214,23.4045435
Polygon,6.Saturday,0,25945,6383,25436316.61,658.7671347,0.25
BSC,6.Saturday,0,1037,470,4963456.681,2616.476901,29.88262858
Algorand,6.Saturday,1,487,108,83986.86113,152.1501107,22.408722
Arbitrum,6.Saturday,1,3234,1049,14653544.01,2854.215818,133.0014785
Flow,6.Saturday,1,6,5,178.2156316,25.45937594,0
BSC,6.Saturday,1,927,417,9930505.908,5585.211422,29.67038765
Avalanche,6.Saturday,1,1985,787,2969514.461,900.1256322,12
Gnosis,6.Saturday,1,156,42,8280.572715,42.24781997,0.9243645
NEAR,6.Saturday,1,13,3,251.0012,19.30778462,19.66836
Ethereum,6.Saturday,1,2898,1561,344319722.8,86101.45606,633.113741
Optimism,6.Saturday,1,5972,1740,10336576.52,794.7544608,21.046032
Osmosis,6.Saturday,1,28,20,13659.42889,487.8367459,195.836034
Solana,6.Saturday,1,14551,1874,12812729.94,465.7480895,2.855727
Axelar,6.Saturday,1,18,16,21016.76338,1167.597966,1000
Polygon,6.Saturday,1,18786,2807,11892805.49,439.0595301,0.099684
Algorand,6.Saturday,2,389,97,143276.9875,355.5260237,19.833645
Optimism,6.Saturday,2,8643,2315,11380745.2,675.5755193,21
NEAR,6.Saturday,2,12,6,276.639847,23.05332058,20.5648405
BSC,6.Saturday,2,1015,473,6764971.784,3845.91915,31.56842235
Avalanche,6.Saturday,2,1970,803,2062932.625,624.9417223,5.317574
Polygon,6.Saturday,2,20017,3043,12724529,436.6688059,0.1
Ethereum,6.Saturday,2,3008,1667,391211029.1,95955.61175,714.08846
Axelar,6.Saturday,2,26,24,38937.20749,1442.118796,465.185272
Flow,6.Saturday,2,3,4,954.6966243,238.6741561,159.5
Solana,6.Saturday,2,12695,1764,11990398.55,506.993596,2.1835625
Osmosis,6.Saturday,2,24,16,33023.95609,1375.998171,222.733199
Gnosis,6.Saturday,2,13,12,1127.713593,34.17313918,17.922956
Arbitrum,6.Saturday,2,4010,1264,12877193.2,2053.77882,100
Osmosis,6.Saturday,3,24,17,14931.874,622.1614168,48.1428815
Axelar,6.Saturday,3,17,14,21261.39042,1250.670025,50
Algorand,6.Saturday,3,296,91,36856.54718,111.6865066,8.9659815
NEAR,6.Saturday,3,19,5,637.020335,33.52738605,0
Flow,6.Saturday,3,4,4,274.5996761,39.22852516,196
Polygon,6.Saturday,3,19992,3285,11968059.09,423.78312,0.065761
BSC,6.Saturday,3,850,426,8890553.926,6135.647982,34.57625
Ethereum,6.Saturday,3,2775,1587,194874203.9,51567.66442,600
Gnosis,6.Saturday,3,18,26,5111.582935,131.0662291,13.051329
Avalanche,6.Saturday,3,1288,665,1269227.896,514.8997548,1.46928
Solana,6.Saturday,3,9658,1610,10089851.92,567.4194082,2.225178
Optimism,6.Saturday,3,9902,2348,12113025.44,662.0224869,21
Arbitrum,6.Saturday,3,4316,1474,19943061.97,2951.466919,100
Flow,6.Saturday,4,7,4,2469.49972,189.9615169,374
Solana,6.Saturday,4,11284,1630,14449485.97,668.6790674,3.004189
NEAR,6.Saturday,4,9,5,666.71125,74.07902778,24.266797
Avalanche,6.Saturday,4,1116,597,2930424.023,1265.295347,1.7031435
Osmosis,6.Saturday,4,20,14,24429.64877,1221.482439,214.253492
Algorand,6.Saturday,4,748,128,181694.5668,228.834467,19.5312695
Polygon,6.Saturday,4,18436,3191,12518189.82,463.9803492,0.1
Arbitrum,6.Saturday,4,4156,1312,25290024.99,3788.767788,62.56863
Optimism,6.Saturday,4,8473,2095,10926296.95,706.8834155,21
BSC,6.Saturday,4,968,531,6116009.197,4177.60191,47.14371962
Gnosis,6.Saturday,4,36,23,1221.244341,25.44259044,2.151262
Ethereum,6.Saturday,4,2599,1452,285242009.9,83771.51539,499.997079
Axelar,6.Saturday,4,11,11,17735.27829,1612.298026,346.37619
Flow,6.Saturday,5,9,6,2714.948891,208.8422224,261
Osmosis,6.Saturday,5,30,16,19449.3184,648.3106134,200.0543815
Solana,6.Saturday,5,11863,1679,13904861.47,621.2797227,3
Arbitrum,6.Saturday,5,4745,1438,13338136.51,1851.23338,70.955577
Avalanche,6.Saturday,5,1017,615,6279009.337,2871.060511,0.498747
Polygon,6.Saturday,5,17527,3264,13353444.91,512.2346429,0.25
Gnosis,6.Saturday,5,10,9,543.504948,45.292079,27.98939
NEAR,6.Saturday,5,31,10,4404.063986,142.0665802,0
Ethereum,6.Saturday,5,2490,1630,393652552.5,115170.4366,566.861196
Optimism,6.Saturday,5,9692,2336,82187563.81,4712.859901,21
BSC,6.Saturday,5,868,435,6930012.41,4873.426449,44.51277152
Algorand,6.Saturday,5,444,90,107756.7324,229.2696433,114.439686
Axelar,6.Saturday,5,14,13,8071.744815,576.5532011,205.087057
Polygon,6.Saturday,6,18213,3485,31412840.35,1089.248599,0.999797
NEAR,6.Saturday,6,7,5,768.179387,109.7399124,0
Osmosis,6.Saturday,6,27,11,9853.365794,364.9394739,104
Avalanche,6.Saturday,6,1257,614,5543233.379,2293.435407,13.406437
Algorand,6.Saturday,6,579,94,118142.3677,189.9394978,62.379311
Flow,6.Saturday,6,8,4,4205.829692,323.5253609,318
Optimism,6.Saturday,6,12590,2624,189479660.2,8256.554107,21.5
Gnosis,6.Saturday,6,27,24,4450.148948,103.491836,8.837683
Ethereum,6.Saturday,6,2526,1351,247797933.2,71247.24934,910.9240515
BSC,6.Saturday,6,1003,578,8639607.67,5430.300232,50.09544371
Arbitrum,6.Saturday,6,5704,1744,17047271.75,1894.141305,106.611896
Solana,6.Saturday,6,14564,1967,17776204.02,694.980218,3.145786
Axelar,6.Saturday,6,14,9,8605.686502,614.691893,54.32825
Solana,6.Saturday,7,17975,2173,15456878.35,488.0143449,4.011604
Ethereum,6.Saturday,7,2854,1661,1216314922,319075.2681,707.222458
Osmosis,6.Saturday,7,34,21,121290.9719,3567.381527,42.3551395
NEAR,6.Saturday,7,4,4,6.561279,1.64031975,0
Flow,6.Saturday,7,10,9,6459.098246,461.3641604,4
Algorand,6.Saturday,7,1091,101,22560.70953,20.49110766,0.033333
Axelar,6.Saturday,7,20,18,112486.055,5624.30275,505.675269
Polygon,6.Saturday,7,20147,4184,29771550.63,995.0717147,0.628659
Optimism,6.Saturday,7,12576,2919,162765034.6,7014.524849,21.56
BSC,6.Saturday,7,1004,534,2598147.34,1563.265548,42.66337134
Gnosis,6.Saturday,7,60,33,6256.243965,78.20304956,0.9677455
Arbitrum,6.Saturday,7,6318,1810,19363611.56,1879.232489,118.8675
Avalanche,6.Saturday,7,1334,693,4612888.709,1761.316804,6.871052
Avalanche,6.Saturday,8,1590,768,10825898.49,3689.808619,6.925098
Axelar,6.Saturday,8,29,23,24469.86063,843.7882977,169.661579
Osmosis,6.Saturday,8,62,23,23833.66627,384.4139721,100.1523845
Flow,6.Saturday,8,9,8,813.0222521,90.33580579,206
Solana,6.Saturday,8,18311,2249,14594588.94,447.9066088,2.9274305
Ethereum,6.Saturday,8,2795,1530,492682151.6,129211.1596,750.256821
Arbitrum,6.Saturday,8,6386,2107,21182139.15,1838.886983,69.125346
Optimism,6.Saturday,8,14999,3245,182656468.1,6332.344189,22
NEAR,6.Saturday,8,9,5,703.290281,78.14336456,28.866917
Polygon,6.Saturday,8,18810,4074,26783738.36,825.9193426,0.25
BSC,6.Saturday,8,1204,681,6527262.753,3126.083694,28.85409171
Algorand,6.Saturday,8,415,130,1497157.889,3473.684197,10
Gnosis,6.Saturday,8,55,43,16868.21107,196.1419892,4.999303
Polygon,6.Saturday,9,18766,4208,28657125.57,931.6360717,0.5
Solana,6.Saturday,9,17161,2502,16088210.53,536.2558091,3.590306
Optimism,6.Saturday,9,14104,3253,207615270.8,8029.05371,21.955999
BSC,6.Saturday,9,1386,706,5559020.488,2470.675772,33
Avalanche,6.Saturday,9,2172,858,3820710.633,1016.957848,20.071699
Ethereum,6.Saturday,9,3047,1701,446837976.3,107957.9551,765.602887
Algorand,6.Saturday,9,643,114,32139.21274,48.47543399,10.963616
Flow,6.Saturday,9,13,10,4113.875558,216.5197662,303
Axelar,6.Saturday,9,28,25,44776.18201,1599.149358,358.5
Gnosis,6.Saturday,9,49,36,31297.32575,396.1686804,49.98092
NEAR,6.Saturday,9,21,8,309.541543,14.74007348,14.777022
Arbitrum,6.Saturday,9,7261,2109,24095875.63,2038.050886,140.493228
Osmosis,6.Saturday,9,48,26,44996.9033,937.4354855,111.4908145
Axelar,6.Saturday,10,29,22,59338.90258,2046.169055,851.236859
Ethereum,6.Saturday,10,2831,1750,349651227.7,93539.65429,600
Flow,6.Saturday,10,13,10,421.8659821,32.4512294,37
Osmosis,6.Saturday,10,74,27,162632.2629,2197.733282,286.4214525
BSC,6.Saturday,10,1341,746,10044667.78,4305.472686,28.22140805
Avalanche,6.Saturday,10,1471,702,2151007.635,774.858658,10.707047
Gnosis,6.Saturday,10,61,39,53518.15767,393.5158652,18.770522
Algorand,6.Saturday,10,180,75,84811.72567,451.1262003,18.859197
NEAR,6.Saturday,10,22,10,1677.684908,76.25840491,16.553529
Optimism,6.Saturday,10,12289,2970,191676028.2,8607.302894,21.55
Arbitrum,6.Saturday,10,6159,1864,14485751.24,1478.590511,114.917024
Solana,6.Saturday,10,17539,2518,14358777.72,444.2553671,3.601462
Polygon,6.Saturday,10,16986,4182,15993888.98,622.7179949,0.678889
Gnosis,6.Saturday,11,37,37,8365.391501,119.5055929,12.184688
NEAR,6.Saturday,11,10,4,1493.279298,149.3279298,26.4214075
Algorand,6.Saturday,11,392,83,107130.9572,261.9338808,30.525752
Polygon,6.Saturday,11,21658,4429,22121156.09,704.0245726,0.5
Ethereum,6.Saturday,11,2871,1709,839703007.1,222555.793,752.237812
Osmosis,6.Saturday,11,57,22,38951.46173,671.5769264,74.493403
Axelar,6.Saturday,11,28,25,20277.87407,724.2097881,87.7433115
Solana,6.Saturday,11,21440,2586,17250964.83,469.0693865,5
Flow,6.Saturday,11,6,5,1323.476722,189.0681031,251
Arbitrum,6.Saturday,11,6514,2007,28489982.67,2630.168267,109.972518
Avalanche,6.Saturday,11,1411,648,5171622.425,1939.84337,18.624661
BSC,6.Saturday,11,1316,697,5817994.687,2457.961422,27.26753832
Optimism,6.Saturday,11,12950,2801,168492179.2,7176.904172,21.955999
Solana,6.Saturday,12,16077,2742,10159476.45,364.3348198,4.377292
Arbitrum,6.Saturday,12,7147,2108,21844280.3,1879.401214,106.719432
BSC,6.Saturday,12,1588,847,4463541.972,1835.337982,47.64943912
NEAR,6.Saturday,12,8,5,91.896928,11.487116,13.049697
Axelar,6.Saturday,12,38,28,49362.67869,1299.01786,93.063065
Ethereum,6.Saturday,12,3182,1757,622687070.3,144810.9466,646.88744
Osmosis,6.Saturday,12,51,19,117662.82,2307.114117,115.092584
Avalanche,6.Saturday,12,1456,646,3718166.987,1353.044755,25.45463
Optimism,6.Saturday,12,13842,3066,183440495.5,7634.447122,21.3
Gnosis,6.Saturday,12,65,52,7497.289166,72.7892152,10
Algorand,6.Saturday,12,413,77,408221.6085,917.3519292,10
Polygon,6.Saturday,12,17542,4596,22624676.25,841.8797442,1.0000135
Flow,6.Saturday,12,13,6,6659.229342,332.9614671,324.5
Solana,6.Saturday,13,15808,2859,6716853.086,248.3400409,3.420865
Optimism,6.Saturday,13,13348,2950,179850867.8,7589.604922,22.000001
Flow,6.Saturday,13,12,6,2490.327664,166.0218443,323
Arbitrum,6.Saturday,13,7194,2291,18454233.47,1648.288091,111.005214
Ethereum,6.Saturday,13,3555,2129,1029167027,226988.7575,1000.513364
Algorand,6.Saturday,13,283,103,74878.07297,244.6995849,10
NEAR,6.Saturday,13,9,4,270.025629,30.00284767,23.275799
BSC,6.Saturday,13,1807,1109,4683726.512,1730.867151,89.64073518
Gnosis,6.Saturday,13,44,41,14969.7533,230.3038969,97.100001
Avalanche,6.Saturday,13,1309,643,3052905.478,1224.591046,10.997459
Osmosis,6.Saturday,13,50,21,48545.21213,933.5617716,190.685172
Polygon,6.Saturday,13,19349,4493,24823201.01,848.3374121,1.021739
Axelar,6.Saturday,13,46,36,70668.61067,1536.274145,252.226509
Solana,6.Saturday,14,16011,2960,8666617.023,315.7467584,3.0016845
Flow,6.Saturday,14,8,7,3063.120771,340.3467524,363
Ethereum,6.Saturday,14,3028,1759,496385127.8,125128.5928,650
Osmosis,6.Saturday,14,88,28,49740.1306,571.7256391,101.84
Algorand,6.Saturday,14,436,127,179177.8645,390.3657178,10
Gnosis,6.Saturday,14,122,52,39560.79598,206.0458124,2.651427
NEAR,6.Saturday,14,27,11,2892.840255,107.1422317,0
BSC,6.Saturday,14,1623,921,20067608.06,7566.971367,50
Axelar,6.Saturday,14,49,34,54095.55511,1103.990921,252.647717
Optimism,6.Saturday,14,11097,2540,201887918.8,9767.667465,22.083245
Arbitrum,6.Saturday,14,7534,2103,33069689.39,2614.204694,154.729435
Avalanche,6.Saturday,14,1249,615,1796773.912,779.5114586,19
Polygon,6.Saturday,14,21151,3988,20962076.64,691.087849,0.60982
Algorand,6.Saturday,15,1683,141,85046.65213,49.79312185,0.033333
BSC,6.Saturday,15,1566,831,7153693.741,2797.690161,57.78
Solana,6.Saturday,15,16431,2730,7378730.421,260.6312183,3.9653
NEAR,6.Saturday,15,11,4,1897.97178,172.5428891,20.826711
Flow,6.Saturday,15,13,9,2380.599365,170.0428118,183.5
Optimism,6.Saturday,15,11516,2732,196614733.3,9108.015627,22
Ethereum,6.Saturday,15,3772,1982,557543668.2,110077.7232,800.51
Gnosis,6.Saturday,15,42,40,9500.96967,135.7281381,10.464757
Osmosis,6.Saturday,15,79,26,33260.5105,415.7563813,118.6005285
Arbitrum,6.Saturday,15,7950,2184,48839663.07,3554.560631,318.541542
Axelar,6.Saturday,15,56,37,29050.92452,518.7665093,440.866996
Polygon,6.Saturday,15,19559,3966,35547319.08,1204.38147,0.996574
Avalanche,6.Saturday,15,1236,600,2004677.693,850.5208711,15
Polygon,6.Saturday,16,18988,4439,31966316.45,1093.762966,1.77
Optimism,6.Saturday,16,9824,2315,22720363.54,1150.106987,21.996495
Arbitrum,6.Saturday,16,7234,2068,388421746.4,30922.83627,146.633692
Solana,6.Saturday,16,17886,2969,7096979.407,225.6447732,2.631434
Algorand,6.Saturday,16,580,174,109709.735,178.3898131,6.154216
Flow,6.Saturday,16,8,7,140.2622845,17.53278557,58
