Blockchain,Date,DEX,Swaps,Swappers,Volume,AmountAverage,AmountMedian
Optimism,2022-12-13,Uniswap,26064,10677,6662307.068,255.6133774,26.50217249
Optimism,2022-12-13,Velodrome,20771,4028,54723332.94,2634.602712,0.924817829
Optimism,2022-12-13,Zipswap,11,10,183.4772031,16.67974574,1.661174451
Osmosis,2022-12-13,Osmosis,18307,4919,6178567.968,337.4791331,22.35529393
Polygon,2022-12-13,Apeswap,197,54,19612.66217,99.55666075,25.39146715
Polygon,2022-12-13,Cafeswap,7,2,17.18494497,2.454992138,2.031317372
Polygon,2022-12-13,Dfyn Network,169,61,38621.40554,228.5290269,50.2868155
Polygon,2022-12-13,Kyberswap,624,3,335919.6328,538.3327448,298.7037407
Polygon,2022-12-13,Others,13316,1860,27839450.24,2090.676647,43.05810856
Polygon,2022-12-13,Polycat,3,2,14.64262158,4.880873858,7.208267381
Polygon,2022-12-13,Quickswap,7178,1238,1111140.872,154.7981153,39.06379514
Polygon,2022-12-13,SushiSwap,88064,32758,40685961.25,462.0044655,0.024241757
Polygon,2022-12-13,Uniswap,9407,4461,11737483.6,1247.7393,28.72282764
Solana,2022-12-13,Jupiter,202280,4887,11933297.75,58.99395763,1.000943647
Solana,2022-12-13,Orca,2816,484,779978.1103,276.980863,10.15622511
Solana,2022-12-13,Raydium,3060,1125,325455.1267,106.3578845,24.28657523
Solana,2022-12-13,Saber,186,20,236837.0314,1273.317373,26.47960457
THORChain,2022-12-13,THORChain,17336,462,20033071.55,702.7421878,416.5423419
Algorand,2022-12-14,Algofi,571,54,30904.81295,50.5807086,6.691070019
Algorand,2022-12-14,FXDX,11,4,1017.955757,92.54143247,138.943934
Algorand,2022-12-14,Humble,104,28,22184.39194,213.3114609,67.073597
Algorand,2022-12-14,Pact,825,56,35955.15139,40.39904651,5.177456447
Algorand,2022-12-14,Tinyman,7048,964,314454.0376,44.61606663,1.882145123
Arbitrum,2022-12-14,1inch Network,3895,1493,5352501.79,1374.198149,132.1923228
Arbitrum,2022-12-14,Camelot,630,244,138154.8471,219.2934081,35.05763474
Arbitrum,2022-12-14,Fraxswap,55,6,21107.15252,383.7664094,260.4906254
Arbitrum,2022-12-14,GMX,1627,867,3227486.367,1983.703975,28.47304189
Arbitrum,2022-12-14,Layer2dao,1,1,44945.38977,44945.38977,44945.38977
Arbitrum,2022-12-14,Others,10845,1685,19212537.66,1771.557184,868.0203744
Arbitrum,2022-12-14,Rage Trade,41,37,516.3718164,12.59443455,4.496524696
Arbitrum,2022-12-14,Sumswap,31,13,25105.66881,809.8602841,33.18000296
Arbitrum,2022-12-14,SushiSwap,30540,12295,23027070.19,753.9970594,2.679978
Arbitrum,2022-12-14,Uniswap,21435,7706,21014422.74,980.3789477,0.901352336
Avalanche,2022-12-14,1inch Network,1405,344,1821562.241,1296.485581,502.5431601
Avalanche,2022-12-14,Alpha Nodes,49,30,2877208.909,58718.54916,69129.19369
Avalanche,2022-12-14,Beefy Finance,38,32,23746.97111,624.9202923,11.26376479
Avalanche,2022-12-14,Chainlink,3,3,30.50957453,10.16985818,12.86687371
Avalanche,2022-12-14,Cycle Finance,1,1,5.525720488,5.525720488,5.525720488
Avalanche,2022-12-14,GMX,87,50,825710.0788,9490.920447,89.32586722
Avalanche,2022-12-14,Grape Finance,6,4,51.55280406,8.592134009,1.235741342
Avalanche,2022-12-14,Hakuswap,5,5,56.45511368,11.29102274,3.559024006
Avalanche,2022-12-14,Ihelp Protocol,1,1,2.23E-05,2.23E-05,2.23E-05
Avalanche,2022-12-14,Lydia Finance,32,9,463.1943782,14.47482432,6.224978717
Avalanche,2022-12-14,Others,3995,580,5694682.775,1425.452509,76.23929213
Avalanche,2022-12-14,Pangolin,1477,322,457348.8485,309.6471554,86.63860673
Avalanche,2022-12-14,SushiSwap,6648,2415,1804362.531,271.4143398,51.47328295
Avalanche,2022-12-14,Trader Joe,13182,8089,1515890.907,114.9970344,0.99912286
Avalanche,2022-12-14,YakSwap,174,50,306714.6873,1762.728088,502.0045592
Avalanche,2022-12-14,Yetiswap,48,3,236.2494429,4.921863394,4.05196
Avalanche,2022-12-14,Yieldwolf,1,1,0.0244999,0.0244999,0.0244999
BSC,2022-12-14,Biswap,2920,1346,1511562.532,517.6584015,91.47938473
BSC,2022-12-14,Bodatoken,1,1,0.054051225,0.054051225,0.054051225
BSC,2022-12-14,Cake Monster,5,5,208.7719605,41.75439211,1.729464248
BSC,2022-12-14,Catcoin,5,5,102.253191,20.4506382,6.973344747
BSC,2022-12-14,Cerberus,1,1,7.43E-10,7.43E-10,7.43E-10
BSC,2022-12-14,Clear Water,1,1,6.406795775,6.406795775,6.406795775
BSC,2022-12-14,Crypter,1,1,0.019066285,0.019066285,0.019066285
BSC,2022-12-14,Crypto Chip Token,1,1,1.703550026,1.703550026,1.703550026
BSC,2022-12-14,Dexira,1,1,139.2058838,139.2058838,139.2058838
BSC,2022-12-14,Doge Floki,3,3,21.78328148,7.261093828,7.247021015
BSC,2022-12-14,Dogeking,4,4,81.89232164,20.47308041,21.56822452
BSC,2022-12-14,Empire,1,1,11.75951907,11.75951907,11.75951907
BSC,2022-12-14,Evereth,4,2,4.822851743,1.205712936,0.228581982
BSC,2022-12-14,Evergrow,3,3,4.825150288,1.608383429,1.132629932
BSC,2022-12-14,Eversafu,2,2,0.023395397,0.011697698,0.011697698
BSC,2022-12-14,FatSwap,441,286,33213.60694,75.31430145,16.23493863
BSC,2022-12-14,Firstonthemoon,1,1,2.569374074,2.569374074,2.569374074
BSC,2022-12-14,Flokimooni,1,1,5.77728113,5.77728113,5.77728113
BSC,2022-12-14,French Connection Finance,1,1,11.43036767,11.43036767,11.43036767
BSC,2022-12-14,Frog Inu,1,1,11.96988193,11.96988193,11.96988193
BSC,2022-12-14,Futura Finance,3,2,9.691632718,3.230544239,4.001057844
BSC,2022-12-14,Goblin,1,1,9.30E-05,9.30E-05,9.30E-05
BSC,2022-12-14,Hamster,8,8,0.650559575,0.081319947,0.011675994
BSC,2022-12-14,Hodl,12,12,76.96515126,6.413762605,5.012006698
BSC,2022-12-14,Librium Tech,1,1,1.018650872,1.018650872,1.018650872
BSC,2022-12-14,Loop Network,5,4,461.3741368,92.27482737,48.67362603
BSC,2022-12-14,Luckyblock,4,4,7.214866113,1.803716528,2.188406554
BSC,2022-12-14,MDEX,2,2,14.94863819,7.474319096,7.474319096
BSC,2022-12-14,Meta Tigr,1,1,108.3777396,108.3777396,108.3777396
BSC,2022-12-14,Metacash,1,1,0.006652867,0.006652867,0.006652867
BSC,2022-12-14,Metapets,6,4,0.09971677,0.016619462,0.016611686
BSC,2022-12-14,Minifloki,1,1,1.006726311,1.006726311,1.006726311
BSC,2022-12-14,Moorex,3,2,0.125150057,0.041716686,0.048094835
BSC,2022-12-14,Nelore Coin,2,2,57.17780227,28.58890113,28.58890113
BSC,2022-12-14,Nomiswap,1593,758,9018733.846,5661.477618,200.8683686
BSC,2022-12-14,Orion,6587,27,7618714.555,1156.628899,464.8580359
BSC,2022-12-14,Others,52541,22000,22027485.24,419.243738,50.05508497
BSC,2022-12-14,PancakeSwap,52075,11872,129186293.5,2480.77376,235.5817399
BSC,2022-12-14,Pantherswap,1,1,0.03942585,0.03942585,0.03942585
BSC,2022-12-14,Phoenixco,4,4,0.451569573,0.112892393,0.114190071
BSC,2022-12-14,Powermade,2,2,11.12311492,5.561557459,5.561557459
BSC,2022-12-14,Pumpeth,1,1,0.000936631,0.000936631,0.000936631
BSC,2022-12-14,Reflex Finance,1,1,236.5971419,236.5971419,236.5971419
BSC,2022-12-14,Restore Truth,1,1,6.642160301,6.642160301,6.642160301
BSC,2022-12-14,Riseupv2,1,1,70.23209929,70.23209929,70.23209929
BSC,2022-12-14,Safemoon,10,10,18815.49658,1881.549658,87.57220849
BSC,2022-12-14,Safuu,14,14,871.5586807,62.25419148,17.906976
BSC,2022-12-14,Sanji Inu,2,2,2.040053495,1.020026748,1.020026748
BSC,2022-12-14,Saylor Moon,1,1,56.58075938,56.58075938,56.58075938
BSC,2022-12-14,Shield Network,1,1,0.110431484,0.110431484,0.110431484
BSC,2022-12-14,Sonar Platform,1,1,101.0125468,101.0125468,101.0125468
BSC,2022-12-14,Starship,1,1,398.9164232,398.9164232,398.9164232
BSC,2022-12-14,Steam Exchange,1,1,6.566676091,6.566676091,6.566676091
BSC,2022-12-14,Stepd,1,1,1.125847135,1.125847135,1.125847135
BSC,2022-12-14,SushiSwap,388279,140167,87707591.87,225.8880647,32.85565825
BSC,2022-12-14,Tarp,1,1,688.7489922,688.7489922,688.7489922
BSC,2022-12-14,Transhuman Coin,1,1,2.457407073,2.457407073,2.457407073
BSC,2022-12-14,Volt Inu,1,1,1.076728026,1.076728026,1.076728026
BSC,2022-12-14,Volt Inu (Volt),1,1,5104.056068,5104.056068,5104.056068
BSC,2022-12-14,W3Swap,683,431,437075.4119,639.9347173,138.0006002
BSC,2022-12-14,Walk With Step,1,1,129.0066074,129.0066074,129.0066074
BSC,2022-12-14,Wolf Pups,1,1,79.23867673,79.23867673,79.23867673
BSC,2022-12-14,Y-5 Finance,13,13,0.066764813,0.005135755,0.005088715
BSC,2022-12-14,Zombie Inu,11,11,18.69145628,1.699223298,0.703219354
BSC,2022-12-14,Zooswap,1334,610,195941.9773,146.8830414,122.2632733
Ethereum,2022-12-14,Balancer,983,472,158508465,116894.1483,3606.92
Ethereum,2022-12-14,Curve,1699,179,183657382.4,90874.50886,10016.74
Ethereum,2022-12-14,SushiSwap,5201,150,10890208.73,1874.067927,490.6313272
Ethereum,2022-12-14,Uniswap,50005,260,881184300.1,13833.78285,599.675495
Ethereum,2022-12-14,synthetix,48,34,4410153.71,91878.20229,82285.92792
Flow,2022-12-14,BltUsdtSwapPair,25,23,5430.995116,217.2398047,18.70135099
Flow,2022-12-14,FlowSwapPair,202,122,59725.69394,291.3448485,53.54010362
Flow,2022-12-14,FusdUsdtSwapPair,114,73,19224.4986,168.6359526,24.69982176
Flow,2022-12-14,StarlyUsdtSwapPair,39,4,2358.966041,60.48630874,55.70026255
Flow,2022-12-14,SwapPair,24,5,3505.776367,97.38267686,0.43629907
Flow,2022-12-14,UsdcUsdtSwapPair,81,50,30832.03619,367.0480499,58.59215642
Gnosis,2022-12-14,Elk,4,4,127.7640967,31.94102418,12.01762231
Gnosis,2022-12-14,Others,201,34,47868.01809,238.1493437,119.0685667
Gnosis,2022-12-14,SushiSwap,1633,220,97177.08592,59.50831961,1.175441421
Gnosis,2022-12-14,Uniswap,541,70,13232.58848,24.45949811,0.994099013
NEAR,2022-12-14,Jumbo,12,1,655.1186087,54.59321739,12.70238303
NEAR,2022-12-14,Others,1231,211,833512.0988,583.6919459,34.67317463
NEAR,2022-12-14,Ref Finance,497,37,2206176.396,3918.608164,608.6024736
Optimism,2022-12-14,Balancer,48,46,87882.58105,1830.887105,70.04347752
Optimism,2022-12-14,Beefy Finance,35,31,179.1174455,5.117641299,0.150033611
Optimism,2022-12-14,Diamond Protocol,1,1,11.05037108,11.05037108,11.05037108
Optimism,2022-12-14,Elk Finance,7,3,120.275422,17.18220314,1.205837805
Optimism,2022-12-14,Gnosis Safe,51,30,236.3637964,4.634584244,1.326193654
Optimism,2022-12-14,Homora V2,30,22,51845.61174,1728.187058,0.102524921
Optimism,2022-12-14,Iron Bank,1,1,299.9106223,299.9106223,299.9106223
Optimism,2022-12-14,Kyberswap,93,1,119261.6321,1282.383141,1399.666128
Optimism,2022-12-14,Nex,4,1,439.0412009,109.7603002,133.1308039
Optimism,2022-12-14,Nuke Vaults,1,1,0.581996173,0.581996173,0.581996173
Optimism,2022-12-14,Others,2509,405,3435348.268,1369.21015,405.13
Optimism,2022-12-14,Overnight,35,4,25937.00234,741.0572097,643.0243673
Optimism,2022-12-14,ParaSwap,12,10,14224.31489,1185.359574,0.49988076
Optimism,2022-12-14,Perpetual Protocol,61,3,14851.27004,243.4634433,178.1780143
Optimism,2022-12-14,Radioshack Swap,5,2,1345.050227,269.0100455,240.8636821
Optimism,2022-12-14,Rubicon,527,6,45092.82004,85.56512342,22.27154342
Optimism,2022-12-14,SushiSwap,5149,2695,3627753.201,704.554904,62.49246406
Optimism,2022-12-14,Symphony Finance,1,1,1.00E-06,1.00E-06,1.00E-06
Optimism,2022-12-14,Thales,4,1,1207.98597,301.9964925,301.8064899
Optimism,2022-12-14,Uniswap,32323,13749,6451771.789,199.6031244,29.9928456
Optimism,2022-12-14,Velodrome,22776,4661,57164623.42,2509.862286,0.257728022
Optimism,2022-12-14,Zipswap,18,17,7.499234078,0.416624115,0.179057265
Osmosis,2022-12-14,Osmosis,1909,588,852995.5886,444.9637916,24.2669962
Polygon,2022-12-14,Apeswap,204,58,21737.80312,106.5578584,29.32110847
