Blockchain,Day,Hour,Blocks,Transactions,Users,Fees
Osmosis,2.Tuesday,10,1182,6637,1103,24.17272373
Algorand,2.Tuesday,10,1930,65925,3757,21.17327728
Arbitrum,2.Tuesday,10,24910,59772,11207,2591.73458
Flow,2.Tuesday,10,5258,37216,108,0.609718396
NEAR,2.Tuesday,10,5985,33202,5387,100.8760134
Optimism,2.Tuesday,10,49273,49273,7098,5067.686595
NEAR,2.Tuesday,11,6014,36763,5872,110.6984159
Polygon,2.Tuesday,11,3391,264462,54899,3631.31393
Optimism,2.Tuesday,11,56473,56473,7450,5594.73306
Osmosis,2.Tuesday,11,1178,4856,1102,18.36486432
BSC,2.Tuesday,11,2329,328874,144830,55984.1954
Cosmos,2.Tuesday,11,1018,5239,1825,858.5797411
Avalanche,2.Tuesday,11,3533,13001,3729,1128.699795
Axelar,2.Tuesday,11,488,4169,333,31.66001966
Gnosis,2.Tuesday,11,2329,328874,144830,202.7179156
Arbitrum,2.Tuesday,11,24471,57377,9577,2430.528607
Algorand,2.Tuesday,11,1936,98787,3029,29.01634384
Ethereum,2.Tuesday,11,596,87153,37194,183943.4641
Flow,2.Tuesday,11,5242,37997,267,0.597240011
Solana,2.Tuesday,11,14083,1978505,12673,156.3040447
Osmosis,2.Tuesday,12,1177,4409,1157,18.73499445
Avalanche,2.Tuesday,12,3508,12227,3937,935.4677531
BSC,2.Tuesday,12,2371,368660,151302,74851.22476
Solana,2.Tuesday,12,14298,1898268,13547,146.0836531
Ethereum,2.Tuesday,12,596,104920,45331,201946.5701
Optimism,2.Tuesday,12,50156,50156,7590,5531.96642
Arbitrum,2.Tuesday,12,25275,60827,10186,2616.110165
NEAR,2.Tuesday,12,5944,38105,6296,116.9959987
Flow,2.Tuesday,12,5217,46547,153,0.718975408
Polygon,2.Tuesday,12,3170,272335,57311,6106.09321
Axelar,2.Tuesday,12,11,110,64,0.334410395
Gnosis,2.Tuesday,12,2371,368660,151302,270.4248192
Cosmos,2.Tuesday,12,1007,4110,2066,119.3388956
Algorand,2.Tuesday,12,1932,95999,4356,28.21569066
Flow,2.Tuesday,13,5267,55544,119,0.81967291
Avalanche,2.Tuesday,13,3592,17999,4864,3935.74818
Solana,2.Tuesday,13,15060,2587527,15916,275.4698845
Gnosis,2.Tuesday,13,2328,373610,151372,278.5572672
Algorand,2.Tuesday,13,1926,115345,4660,32.54560865
BSC,2.Tuesday,13,2328,373610,151372,76829.23822
Osmosis,2.Tuesday,13,1193,6854,1191,25.52125293
Ethereum,2.Tuesday,13,589,108922,51551,352877.3613
Cosmos,2.Tuesday,13,1034,4477,2162,126.7851031
Polygon,2.Tuesday,13,3329,290587,62636,27308.88728
Optimism,2.Tuesday,13,44718,44718,6998,8934.473243
NEAR,2.Tuesday,13,5947,45004,6539,135.4991634
Arbitrum,2.Tuesday,13,26241,77761,11198,5002.175624
Arbitrum,2.Tuesday,14,25833,64506,10603,5351.69541
NEAR,2.Tuesday,14,5975,44990,6760,133.0771125
Algorand,2.Tuesday,14,1930,102141,5687,30.57137595
Polygon,2.Tuesday,14,3416,313839,64019,10457.75969
Avalanche,2.Tuesday,14,3502,17039,4872,2303.064993
Ethereum,2.Tuesday,14,594,108629,49457,349409.9439
Cosmos,2.Tuesday,14,1058,4975,2459,142.1483164
Gnosis,2.Tuesday,14,2316,356923,148552,244.9235153
Osmosis,2.Tuesday,14,1185,6223,1076,23.93145016
Optimism,2.Tuesday,14,36657,36657,6247,7522.086309
Flow,2.Tuesday,14,5212,62982,105,0.880571526
BSC,2.Tuesday,14,2316,356923,148552,67642.88361
Solana,2.Tuesday,14,14968,2685212,16769,242.9725039
Flow,2.Tuesday,15,5193,72449,110,1.300005026
Solana,2.Tuesday,15,15054,2632186,16485,217.1401077
Arbitrum,2.Tuesday,15,26342,68069,10398,4725.100274
Osmosis,2.Tuesday,15,1179,5045,1014,20.75578507
Optimism,2.Tuesday,15,34236,34236,6291,5390.900916
Polygon,2.Tuesday,15,3413,302641,66432,7096.58133
Cosmos,2.Tuesday,15,1059,4565,2227,132.618603
Ethereum,2.Tuesday,15,597,101580,46450,273030.8356
Gnosis,2.Tuesday,15,2357,344555,145390,242.1589437
NEAR,2.Tuesday,15,6024,41080,7597,121.2714483
Avalanche,2.Tuesday,15,3468,14857,4804,1342.464093
Algorand,2.Tuesday,15,1932,79093,5614,24.10488506
BSC,2.Tuesday,15,2357,344555,145390,66995.68894
Arbitrum,2.Tuesday,16,25969,65685,9361,4173.266926
Gnosis,2.Tuesday,16,2269,335365,132877,220.7656337
Avalanche,2.Tuesday,16,3467,13874,4573,1259.594646
Cosmos,2.Tuesday,16,1053,4388,2145,131.9163928
Polygon,2.Tuesday,16,3398,306040,62143,6846.353057
BSC,2.Tuesday,16,2269,335365,132877,61022.70355
NEAR,2.Tuesday,16,5852,41416,8501,121.0392428
Ethereum,2.Tuesday,16,594,101123,45092,277652.9861
Solana,2.Tuesday,16,15275,2583955,16611,212.2358343
Flow,2.Tuesday,16,5226,81590,129,0.955868279
Osmosis,2.Tuesday,16,1195,6265,1033,26.39942326
Optimism,2.Tuesday,16,29138,29138,5317,4479.885884
Algorand,2.Tuesday,16,1929,81075,4409,24.30999047
Arbitrum,2.Tuesday,17,25507,63146,8498,4295.103107
Algorand,2.Tuesday,17,1943,83860,3575,24.86873768
Polygon,2.Tuesday,17,3298,265666,48598,4210.820462
BSC,2.Tuesday,17,2363,274170,112612,49762.71428
Flow,2.Tuesday,17,5285,62289,200,0.734640782
Ethereum,2.Tuesday,17,598,96317,43034,317578.6143
Cosmos,2.Tuesday,17,1008,4093,1923,129.7767208
NEAR,2.Tuesday,17,5962,43137,8556,120.1205518
Avalanche,2.Tuesday,17,3530,12716,3593,1144.30426
Solana,2.Tuesday,17,15323,2554713,15606,197.4017748
Gnosis,2.Tuesday,17,2363,274170,112612,180.1813519
Optimism,2.Tuesday,17,25599,25599,4524,4497.830927
Osmosis,2.Tuesday,17,1022,6340,1171,33.33033539
Algorand,2.Tuesday,18,1933,98513,3586,28.41566845
Ethereum,2.Tuesday,18,597,98143,41830,316961.7342
Flow,2.Tuesday,18,5269,54016,295,0.659662364
Polygon,2.Tuesday,18,3349,269283,51506,3331.507574
BSC,2.Tuesday,18,2339,228444,97061,38778.06939
Avalanche,2.Tuesday,18,3529,10564,3369,926.1630158
Solana,2.Tuesday,18,15218,2579438,16107,204.092902
Optimism,2.Tuesday,18,22375,22375,3976,4269.108415
Gnosis,2.Tuesday,18,2339,228444,97061,140.3588181
Arbitrum,2.Tuesday,18,24367,56895,7162,3903.619858
Cosmos,2.Tuesday,18,1028,4300,2097,1266.092263
Osmosis,2.Tuesday,18,1199,6583,1452,34.173934
NEAR,2.Tuesday,18,6111,48263,8644,129.8811932
Flow,2.Tuesday,19,5258,55294,284,0.681214459
NEAR,2.Tuesday,19,6116,38288,7501,118.4588336
Algorand,2.Tuesday,19,1929,65471,3167,19.79770368
Cosmos,2.Tuesday,19,1039,4697,2187,172.8636565
Gnosis,2.Tuesday,19,2324,196911,81995,121.8110379
BSC,2.Tuesday,19,2324,196911,81995,33681.15225
Avalanche,2.Tuesday,19,3540,10235,3250,846.4318205
Optimism,2.Tuesday,19,20308,20308,3612,2630.037392
Axelar,2.Tuesday,19,256,1181,172,10.44914063
Solana,2.Tuesday,19,15320,2541287,15247,202.6647732
Osmosis,2.Tuesday,19,1215,7146,1552,32.72308521
Polygon,2.Tuesday,19,3240,290723,59721,3027.793178
Ethereum,2.Tuesday,19,597,94677,41702,225657.6487
Arbitrum,2.Tuesday,19,22602,51408,6334,3243.07309
Cosmos,2.Tuesday,20,1041,4598,2135,225.7457795
Polygon,2.Tuesday,20,3294,238750,43733,2373.632518
NEAR,2.Tuesday,20,6027,37110,7232,111.2789736
Gnosis,2.Tuesday,20,2364,176890,76947,109.3295821
Avalanche,2.Tuesday,20,3527,10800,3261,900.0129282
Axelar,2.Tuesday,20,335,2107,261,15.83436516
Algorand,2.Tuesday,20,1939,73509,3004,22.21462303
Optimism,2.Tuesday,20,19148,19148,3123,2241.521597
Solana,2.Tuesday,20,15619,2459415,14471,193.73977
BSC,2.Tuesday,20,2364,176890,76947,30200.00056
Flow,2.Tuesday,20,5186,52321,306,0.621793059
Ethereum,2.Tuesday,20,597,92926,39953,207863.5336
Osmosis,2.Tuesday,20,1216,7158,1476,30.17028314
Arbitrum,2.Tuesday,20,20875,45328,6074,2326.419934
Arbitrum,2.Tuesday,21,20868,45352,5595,2184.130292
Algorand,2.Tuesday,21,1929,67011,2845,21.09287667
Ethereum,2.Tuesday,21,595,97944,42704,272104.7694
Gnosis,2.Tuesday,21,2290,169666,71911,112.5857896
Cosmos,2.Tuesday,21,1042,4387,2107,129.5582654
Flow,2.Tuesday,21,5222,57507,305,0.668689002
BSC,2.Tuesday,21,2290,169666,71911,31120.29044
Polygon,2.Tuesday,21,3455,227700,43753,2357.181589
Osmosis,2.Tuesday,21,1203,6770,1563,30.1915466
Axelar,2.Tuesday,21,314,2531,256,17.27474952
Solana,2.Tuesday,21,15388,2371492,14753,191.3549329
Optimism,2.Tuesday,21,17915,17915,3175,2661.616746
Avalanche,2.Tuesday,21,3529,9994,3163,927.7201307
NEAR,2.Tuesday,21,6046,37358,6928,106.4736611
Polygon,2.Tuesday,22,3339,216123,44237,2413.456087
Osmosis,2.Tuesday,22,1191,5832,1429,23.29358553
Ethereum,2.Tuesday,22,598,89642,39430,262328.3475
Cosmos,2.Tuesday,22,992,3771,1766,109.2305468
Avalanche,2.Tuesday,22,3503,9395,3098,903.1944225
NEAR,2.Tuesday,22,6009,32463,6222,94.27207273
Solana,2.Tuesday,22,15511,2252988,13538,201.2521592
Axelar,2.Tuesday,22,370,3477,318,20.37716436
Optimism,2.Tuesday,22,16532,16532,2886,2555.400664
Gnosis,2.Tuesday,22,2348,153272,65080,100.4203923
Algorand,2.Tuesday,22,1929,67040,2602,20.39652546
Arbitrum,2.Tuesday,22,19271,40948,5379,1843.837325
Flow,2.Tuesday,22,5228,52755,278,0.645283893
BSC,2.Tuesday,22,2348,153272,65080,27743.39541
Solana,2.Tuesday,23,15086,2470084,12779,249.3433171
Osmosis,2.Tuesday,23,1143,4933,1022,21.17993556
Axelar,2.Tuesday,23,504,4250,522,31.32545253
BSC,2.Tuesday,23,2319,157998,69030,28627.46078
Flow,2.Tuesday,23,5219,37971,286,0.571694052
Gnosis,2.Tuesday,23,2319,157998,69030,103.5553248
Algorand,2.Tuesday,23,1930,64931,2290,19.58304784
Arbitrum,2.Tuesday,23,18467,40074,4943,1789.214943
Avalanche,2.Tuesday,23,3496,9296,2810,942.0650294
Polygon,2.Tuesday,23,3378,210672,40726,2490.800085
Cosmos,2.Tuesday,23,942,2976,1434,97.21133478
NEAR,2.Tuesday,23,5997,28623,4814,81.5669464
Ethereum,2.Tuesday,23,597,84380,35757,202708.7472
Optimism,2.Tuesday,23,17406,17406,3043,1897.941227
Ethereum,3.Wednesday,0,597,80820,35517,201985.4984
Solana,3.Wednesday,0,15405,2418189,12102,200.1125378
Algorand,3.Wednesday,0,1932,59366,2493,18.15840939
Flow,3.Wednesday,0,5207,31447,283,0.416559191
NEAR,3.Wednesday,0,6040,27643,4414,75.24274983
Axelar,3.Wednesday,0,145,1757,161,16.27881971
Avalanche,3.Wednesday,0,3538,10802,2944,1241.413935
Cosmos,3.Wednesday,0,931,2936,1361,84.46338191
BSC,3.Wednesday,0,2351,224752,108331,35725.31358
Arbitrum,3.Wednesday,0,15577,33112,4495,1444.210898
Optimism,3.Wednesday,0,18195,18195,3273,1959.747983
Gnosis,3.Wednesday,0,2351,224752,108331,129.6533013
Polygon,3.Wednesday,0,3361,261893,49204,2816.191008
Osmosis,3.Wednesday,0,1144,4514,919,17.03502697
Polygon,3.Wednesday,1,3457,245040,47727,2517.766509
Ethereum,3.Wednesday,1,589,91548,42552,200541.9379
Solana,3.Wednesday,1,15684,2276810,11200,180.9366991
NEAR,3.Wednesday,1,5998,26500,4536,66.91823234
Osmosis,3.Wednesday,1,1119,3881,881,15.42397587
Arbitrum,3.Wednesday,1,16069,33654,4931,1330.692235
Optimism,3.Wednesday,1,20981,20981,4185,2292.601281
Gnosis,3.Wednesday,1,2344,254109,125177,136.9245098
BSC,3.Wednesday,1,2344,254109,125177,37738.38763
Cosmos,3.Wednesday,1,933,2844,1352,85.26453561
Avalanche,3.Wednesday,1,3505,8962,2808,793.6232158
Algorand,3.Wednesday,1,1931,62579,2538,41.07233396
Axelar,3.Wednesday,1,135,1790,173,16.55462033
Flow,3.Wednesday,1,5186,46869,271,0.558436132
Axelar,3.Wednesday,2,260,2203,233,15.72913222
BSC,3.Wednesday,2,2347,261493,121407,39603.0603
Arbitrum,3.Wednesday,2,17275,36418,5553,1473.567199
Algorand,3.Wednesday,2,1919,63640,2795,18.9679784
Optimism,3.Wednesday,2,34332,34332,5518,3750.498329
Polygon,3.Wednesday,2,3336,240354,45326,3896.096796
Avalanche,3.Wednesday,2,3506,8808,2763,719.8069988
Ethereum,3.Wednesday,2,587,78997,38281,180274.5324
NEAR,3.Wednesday,2,5844,21730,3011,60.02152856
Flow,3.Wednesday,2,5248,47808,271,0.57430382
Gnosis,3.Wednesday,2,2347,261493,121407,143.6830712
Osmosis,3.Wednesday,2,1121,4828,898,19.09564801
Cosmos,3.Wednesday,2,934,2766,1316,79.76913652
Solana,3.Wednesday,2,14878,2010194,10319,157.0558724
Gnosis,3.Wednesday,3,2344,274770,121784,162.6159516
Flow,3.Wednesday,3,5213,48078,285,0.579642777
Algorand,3.Wednesday,3,1935,86947,2987,25.74900248
Polygon,3.Wednesday,3,3298,268247,49876,4639.969948
NEAR,3.Wednesday,3,5754,21107,2821,59.58221879
Arbitrum,3.Wednesday,3,19164,41428,7101,1610.073385
BSC,3.Wednesday,3,2344,274770,121784,44828.2001
Avalanche,3.Wednesday,3,3513,10483,3081,840.5977992
Solana,3.Wednesday,3,15025,2166152,10851,172.1394337
Ethereum,3.Wednesday,3,586,83891,34798,184744.1701
Cosmos,3.Wednesday,3,927,2818,1319,91.09189439
Axelar,3.Wednesday,3,153,1934,174,16.17607303
Osmosis,3.Wednesday,3,1113,3603,887,14.63791084
Optimism,3.Wednesday,3,48291,48291,5656,5170.136014
Axelar,3.Wednesday,4,96,1185,134,13.33181298
Algorand,3.Wednesday,4,1931,63920,3858,18.45110624
Arbitrum,3.Wednesday,4,18250,38910,6004,1494.515689
Osmosis,3.Wednesday,4,1091,3196,828,12.53317074
Flow,3.Wednesday,4,5228,49498,149,0.612449387
Solana,3.Wednesday,4,15555,2226031,10642,175.5737159
Ethereum,3.Wednesday,4,591,72440,33388,170361.0321
NEAR,3.Wednesday,4,5816,20861,2962,55.82859073
BSC,3.Wednesday,4,2330,272147,120872,44031.66659
Optimism,3.Wednesday,4,35251,35251,5323,3427.61524
Polygon,3.Wednesday,4,3318,257043,52565,2608.377
Gnosis,3.Wednesday,4,2330,272147,120872,159.7161074
Cosmos,3.Wednesday,4,886,2426,1155,68.54229318
Avalanche,3.Wednesday,4,3502,9532,3000,763.9471828
Optimism,3.Wednesday,5,51816,51816,6860,4877.412949
Ethereum,3.Wednesday,5,585,72532,33271,169303.6027
Flow,3.Wednesday,5,5293,52863,110,0.683450669
Arbitrum,3.Wednesday,5,18936,41576,6710,1613.078774
Cosmos,3.Wednesday,5,924,2627,1262,98.82411924
NEAR,3.Wednesday,5,6008,25184,3544,62.28511558
BSC,3.Wednesday,5,2357,270294,117588,41469.92942
Algorand,3.Wednesday,5,1931,59143,2971,18.21704536
Axelar,3.Wednesday,5,189,1945,192,16.4150391
Osmosis,3.Wednesday,5,1113,3700,899,14.27972126
Solana,3.Wednesday,5,15604,2146918,10670,170.3079808
Gnosis,3.Wednesday,5,2357,270294,117588,150.3898922
Polygon,3.Wednesday,5,3113,239693,51802,2600.15848
Avalanche,3.Wednesday,5,3475,8500,2728,714.9990994
BSC,3.Wednesday,6,2360,275989,120153,43975.98131
Osmosis,3.Wednesday,6,1116,4210,959,15.33004937
Ethereum,3.Wednesday,6,584,68916,31996,172297.9586
Arbitrum,3.Wednesday,6,22112,50600,7912,1971.214752
Solana,3.Wednesday,6,15647,2094076,10810,164.2916708
Optimism,3.Wednesday,6,58724,58724,7456,5650.805858
Avalanche,3.Wednesday,6,3486,9413,2893,1041.044387
Flow,3.Wednesday,6,5178,60566,171,0.852085475
Cosmos,3.Wednesday,6,930,2880,1469,75.7182346
Polygon,3.Wednesday,6,3167,268074,58042,3339.957436
Algorand,3.Wednesday,6,1935,65538,2869,19.61661712
NEAR,3.Wednesday,6,6001,26259,4080,68.15376273
Gnosis,3.Wednesday,6,2360,275989,120153,159.516862
Axelar,3.Wednesday,6,132,1954,160,16.00049171
Solana,3.Wednesday,7,15654,2139843,11268,167.2118351
Cosmos,3.Wednesday,7,953,3234,1548,94.938123
Arbitrum,3.Wednesday,7,24016,59249,8721,2551.397183
NEAR,3.Wednesday,7,5873,29985,4557,82.22419654
Algorand,3.Wednesday,7,1900,87703,3734,28.57834969
Optimism,3.Wednesday,7,66510,66510,8128,6784.476522
BSC,3.Wednesday,7,2350,316808,131429,50597.93827
Axelar,3.Wednesday,7,146,1760,195,15.36915254
Polygon,3.Wednesday,7,3299,295884,59561,7581.516212
Gnosis,3.Wednesday,7,2350,316808,131429,183.3398689
Ethereum,3.Wednesday,7,589,75057,33169,197284.2048
Flow,3.Wednesday,7,5146,48969,102,0.629955723
Avalanche,3.Wednesday,7,3551,11594,3072,1184.477955
Osmosis,3.Wednesday,7,1147,5372,1000,20.23510885
Algorand,3.Wednesday,8,1917,82400,3570,24.05906909
Solana,3.Wednesday,8,15509,2238036,11642,177.9757716
Axelar,3.Wednesday,8,202,1794,195,15.64861702
Polygon,3.Wednesday,8,3347,296100,71044,4694.132103
Cosmos,3.Wednesday,8,992,3564,1656,145.0588239
Flow,3.Wednesday,8,5147,52716,329,0.778719724
Avalanche,3.Wednesday,8,3517,10016,3127,837.1212459
Osmosis,3.Wednesday,8,1171,5024,1246,19.54622049
Arbitrum,3.Wednesday,8,25363,62995,10330,2655.046284
Optimism,3.Wednesday,8,63360,63360,8024,6407.268995
Ethereum,3.Wednesday,8,585,85417,44182,177524.5508
BSC,3.Wednesday,8,2339,323276,142522,52809.77882
Gnosis,3.Wednesday,8,2339,323276,142522,191.4774511
NEAR,3.Wednesday,8,5880,34048,4962,93.32996818
Algorand,3.Wednesday,9,1912,63926,3295,20.02976547
Flow,3.Wednesday,9,5240,54413,123,0.792125874
Solana,3.Wednesday,9,15399,2222513,11268,173.6225163
Gnosis,3.Wednesday,9,2336,311716,134940,178.0787292
Arbitrum,3.Wednesday,9,24775,59165,9429,2479.225851
Osmosis,3.Wednesday,9,1158,4677,1181,17.82904531
Ethereum,3.Wednesday,9,589,82855,41130,183693.3157
Axelar,3.Wednesday,9,188,1703,205,15.7162809
Optimism,3.Wednesday,9,53193,53193,8438,5696.078479
Polygon,3.Wednesday,9,3361,276302,60529,3545.177916
Cosmos,3.Wednesday,9,961,3504,1726,96.3639888
NEAR,3.Wednesday,9,5981,32565,5256,96.70276974
BSC,3.Wednesday,9,2336,311716,134940,49091.24668
Avalanche,3.Wednesday,9,3524,16177,5261,1081.498663
Avalanche,3.Wednesday,10,3512,16655,5099,1163.564115
Solana,3.Wednesday,10,15568,2202714,11808,178.3150087
BSC,3.Wednesday,10,2356,296388,128668,46509.52257
Ethereum,3.Wednesday,10,591,81466,39748,185237.6459
Optimism,3.Wednesday,10,48671,48671,7341,4918.079996
Gnosis,3.Wednesday,10,2356,296388,128668,168.711277
Arbitrum,3.Wednesday,10,23210,53175,8547,2215.653726
Axelar,3.Wednesday,10,347,3909,285,24.9556978
Flow,3.Wednesday,10,5228,52732,206,0.73328098
Osmosis,3.Wednesday,10,1143,4505,1127,17.02284003
Cosmos,3.Wednesday,10,989,3421,1715,101.7840132
Algorand,3.Wednesday,10,1912,59348,2627,19.72782865
Polygon,3.Wednesday,10,3326,304830,67500,5887.678301
NEAR,3.Wednesday,10,6041,36423,5900,107.3882592
Flow,3.Wednesday,11,5217,53358,110,0.726815156
BSC,3.Wednesday,11,2339,333439,135546,55533.30468
Avalanche,3.Wednesday,11,3534,17538,5203,1345.37359
Ethereum,3.Wednesday,11,594,80105,36279,183926.0181
NEAR,3.Wednesday,11,5987,36063,5924,113.1875819
Axelar,3.Wednesday,11,634,4979,348,35.03130085
Optimism,3.Wednesday,11,53533,53533,7482,5637.263543
Cosmos,3.Wednesday,11,1016,3708,1801,103.9686763
Algorand,3.Wednesday,11,1930,158990,3804,41.52706076
Gnosis,3.Wednesday,11,2339,333439,135546,201.5073103
Solana,3.Wednesday,11,15501,2145801,12514,168.4793108
Arbitrum,3.Wednesday,11,23449,54290,8756,2299.483409
Osmosis,3.Wednesday,11,1164,5211,1158,19.54931458
Polygon,3.Wednesday,11,3441,294920,60457,4939.619712
Osmosis,3.Wednesday,12,1160,5428,921,21.55746624
Ethereum,3.Wednesday,12,594,90883,43236,192985.7045
Polygon,3.Wednesday,12,3288,297280,59270,5147.271648
Avalanche,3.Wednesday,12,3555,16996,5045,1254.025452
Solana,3.Wednesday,12,15150,2222874,13997,181.6077177
NEAR,3.Wednesday,12,5966,37238,6130,121.3938985
Arbitrum,3.Wednesday,12,23910,56022,8702,2384.525201
Gnosis,3.Wednesday,12,2305,337467,144582,214.8432488
Flow,3.Wednesday,12,5200,57033,387,0.791589568
Optimism,3.Wednesday,12,51966,51966,7434,5536.200379
Algorand,3.Wednesday,12,1933,86379,4204,25.28874724
BSC,3.Wednesday,12,2305,337467,144582,59258.75766
Axelar,3.Wednesday,12,366,2227,240,16.43320727
Cosmos,3.Wednesday,12,1002,3979,1875,115.4149686
Polygon,3.Wednesday,13,3297,291479,60690,5439.648172
Arbitrum,3.Wednesday,13,25528,63042,9613,2759.068339
Gnosis,3.Wednesday,13,2205,339478,146458,221.180726
Solana,3.Wednesday,13,15128,2219800,14934,180.6587579
Flow,3.Wednesday,13,5208,59037,144,0.817488587
Ethereum,3.Wednesday,13,594,91041,41846,201649.7993
Osmosis,3.Wednesday,13,1174,6115,917,25.57210993
Algorand,3.Wednesday,13,1926,63339,3761,21.02598489
Axelar,3.Wednesday,13,343,2270,250,16.92409358
Cosmos,3.Wednesday,13,998,3740,1774,1163.052411
NEAR,3.Wednesday,13,5942,37429,6069,123.3131256
BSC,3.Wednesday,13,2205,339478,146458,60988.82463
Optimism,3.Wednesday,13,48429,48429,8186,5506.379233
Avalanche,3.Wednesday,13,3561,17060,5208,1296.374116
Osmosis,3.Wednesday,14,1185,6495,1007,24.42862713
Flow,3.Wednesday,14,5171,59318,195,0.80011236
Polygon,3.Wednesday,14,3233,302427,60226,7220.718491
Ethereum,3.Wednesday,14,600,91939,40563,210590.8118
NEAR,3.Wednesday,14,5784,39477,6485,124.0518861
Algorand,3.Wednesday,14,1934,102380,3923,28.97394218
Optimism,3.Wednesday,14,49582,49582,7737,5373.766037
Gnosis,3.Wednesday,14,2354,351083,145799,225.9683273
Cosmos,3.Wednesday,14,1016,4161,2013,123.9459906
Solana,3.Wednesday,14,15452,2426677,15291,197.6898824
Axelar,3.Wednesday,14,534,3356,336,24.1752662
BSC,3.Wednesday,14,2354,351083,145799,62313.58044
Avalanche,3.Wednesday,14,3569,17524,5431,1434.397745
Arbitrum,3.Wednesday,14,25658,64841,9809,2975.580176
NEAR,3.Wednesday,15,5973,37524,6572,122.2783271
Osmosis,3.Wednesday,15,1179,5380,915,19.90873192
Solana,3.Wednesday,15,15038,2605620,16619,211.2087495
Arbitrum,3.Wednesday,15,25103,61949,9772,2873.833973
Avalanche,3.Wednesday,15,3577,16510,5487,1447.31089
Cosmos,3.Wednesday,15,1005,4118,1946,232.4046707
BSC,3.Wednesday,15,2348,337787,142557,59119.32501
Optimism,3.Wednesday,15,38829,38829,6836,4890.46701
Ethereum,3.Wednesday,15,594,93217,43555,224690.895
Flow,3.Wednesday,15,5260,59422,124,0.772324348
Algorand,3.Wednesday,15,1911,99029,10607,26.27076094
Polygon,3.Wednesday,15,3337,297804,61610,6401.929256
Axelar,3.Wednesday,15,557,5141,401,36.32304493
Gnosis,3.Wednesday,15,2348,337787,142557,214.4461862
NEAR,3.Wednesday,16,5897,37420,6932,119.5798199
Osmosis,3.Wednesday,16,1199,5628,966,23.1229097
Flow,3.Wednesday,16,5210,62197,274,0.946454732
Algorand,3.Wednesday,16,1914,84625,4266,21.39714562
Solana,3.Wednesday,16,14883,2636439,16909,223.9100592
Arbitrum,3.Wednesday,16,25575,65176,10677,3427.304045
Axelar,3.Wednesday,16,556,5145,360,33.88367642
Cosmos,3.Wednesday,16,1023,3783,1765,113.1775905
Optimism,3.Wednesday,16,30992,30992,6038,4316.110274
Avalanche,3.Wednesday,16,3575,18212,6143,1606.288544
BSC,3.Wednesday,16,2312,303495,122401,53691.75089
Polygon,3.Wednesday,16,3382,311914,61519,5153.806752
Gnosis,3.Wednesday,16,2312,303495,122401,194.5588523
Ethereum,3.Wednesday,16,598,97335,43870,259864.2793
Algorand,3.Wednesday,17,1913,79976,3835,20.62925543
Cosmos,3.Wednesday,17,1013,3997,1903,2080.645633
Ethereum,3.Wednesday,17,596,100835,48172,293657.552
Flow,3.Wednesday,17,5261,57955,286,0.755929481
Optimism,3.Wednesday,17,24824,24824,5504,4084.077592
Osmosis,3.Wednesday,17,1015,5934,1137,30.11755295
Axelar,3.Wednesday,17,543,4278,383,33.91144769
Polygon,3.Wednesday,17,3302,315403,78214,4005.603063
BSC,3.Wednesday,17,2341,248744,100476,45111.50951
Avalanche,3.Wednesday,17,3549,15972,5155,1215.274055
Solana,3.Wednesday,17,15231,2498926,16460,245.2133175
NEAR,3.Wednesday,17,5851,38569,6875,117.5820029
Arbitrum,3.Wednesday,17,23950,57087,9077,3079.11482
Gnosis,3.Wednesday,17,2341,248744,100476,163.6395419
Solana,3.Wednesday,18,15021,2669090,15683,250.2024702
BSC,3.Wednesday,18,2348,221922,86121,40860.69737
Ethereum,3.Wednesday,18,597,105783,48149,477805.3765
NEAR,3.Wednesday,18,5836,37006,6576,117.2190411
Gnosis,3.Wednesday,18,2348,221922,86121,148.3532608
Polygon,3.Wednesday,18,3287,275688,68984,6225.124636
Flow,3.Wednesday,18,5239,56775,222,0.779686651
Osmosis,3.Wednesday,18,1215,7353,1390,34.22729392
Optimism,3.Wednesday,18,27685,27685,5420,5883.107296
Arbitrum,3.Wednesday,18,22636,54791,7365,3505.620905
Avalanche,3.Wednesday,18,3546,16503,4560,1588.212883
Algorand,3.Wednesday,18,1919,116376,3581,29.83653249
Axelar,3.Wednesday,18,631,5624,428,35.13527268
Cosmos,3.Wednesday,18,1019,4112,1901,124.0159065
Arbitrum,3.Wednesday,19,22529,60086,8580,4434.491662
Polygon,3.Wednesday,19,3278,240450,45393,11299.35313
Axelar,3.Wednesday,19,538,4249,339,33.19733153
Ethereum,3.Wednesday,19,597,99361,46835,501144.3147
Algorand,3.Wednesday,19,1925,85531,3408,23.03445888
Solana,3.Wednesday,19,14676,2850606,15028,317.4131502
Avalanche,3.Wednesday,19,3608,18055,4205,2140.38825
Cosmos,3.Wednesday,19,1021,4232,1927,123.996975
Gnosis,3.Wednesday,19,2298,202644,76914,142.536884
Optimism,3.Wednesday,19,25910,25910,4505,4882.823068
NEAR,3.Wednesday,19,6050,38498,6345,119.7425493
Flow,3.Wednesday,19,5193,61433,202,0.703848093
Osmosis,3.Wednesday,19,1219,9587,1548,37.37283093
BSC,3.Wednesday,19,2298,202644,76914,39260.91266
NEAR,3.Wednesday,20,5996,44105,6296,121.9217212
Avalanche,3.Wednesday,20,3545,12107,3543,1160.301587
Flow,3.Wednesday,20,5262,57020,241,0.671100464
