Blockchain,Day,Hour,Swaps,Swappers,Volume,AmountAverage,AmountMedian
Arbitrum,6.Saturday,20,2185,1051,835609.7464,382.4300899,0.996134792
Polygon,6.Saturday,20,2486,1360,820430.4172,330.0202804,4.037685917
Gnosis,6.Saturday,20,46,30,1979.440023,43.03130486,5.323759867
Flow,6.Saturday,20,3,3,1624.035275,324.807055,425.6000126
Avalanche,6.Saturday,21,621,403,227996.3019,367.1438033,14.30780165
Gnosis,6.Saturday,21,73,30,2946.991224,40.3697428,2.792229087
Optimism,6.Saturday,21,1420,633,967603.512,681.410924,19.99424759
Arbitrum,6.Saturday,21,2607,1327,954449.8588,366.1104176,0.49944188
Flow,6.Saturday,21,11,7,3766.429591,209.2460884,17.29410698
Polygon,6.Saturday,21,3570,1798,1115718.901,312.5263028,1.618732388
THORChain,6.Saturday,21,352,32,363473.4241,602.7751644,400.0410123
Solana,6.Saturday,21,2189,362,296550.0296,135.4728322,1.0014127
Osmosis,6.Saturday,21,599,297,96363.47773,160.8739194,7.54499245
Ethereum,6.Saturday,21,2267,124,37218596.91,13373.55261,320.494445
BSC,6.Saturday,21,12723,6307,3655216.319,287.292016,42.56452359
Algorand,6.Saturday,21,505,63,16797.11063,32.74290571,1.899461687
NEAR,6.Saturday,21,85,28,61084.40921,531.1687757,68.33873244
Avalanche,6.Saturday,22,892,475,282887.1516,317.1380623,35.2528262
Optimism,6.Saturday,22,1314,515,1702218.542,1295.447901,21.24236355
Ethereum,6.Saturday,22,1946,119,54519023.32,21860.0735,498.0840574
THORChain,6.Saturday,22,1000,39,894785.5565,640.9638657,395.8736932
Osmosis,6.Saturday,22,594,297,153767.2159,258.8673669,10.043221
Polygon,6.Saturday,22,3981,1811,2359747.909,592.7525519,8.057021433
Arbitrum,6.Saturday,22,2184,1097,1499504.133,686.5861413,2.341010397
Gnosis,6.Saturday,22,87,26,4315.820684,49.6071343,2.899716685
BSC,6.Saturday,22,14551,6707,5852230.883,402.1875392,58.50346598
Flow,6.Saturday,22,20,9,4026.681868,108.8292397,0.650742409
Solana,6.Saturday,22,3721,375,205717.5768,55.13738323,1.954146633
NEAR,6.Saturday,22,88,23,81471.08873,727.4204351,28.43118349
Algorand,6.Saturday,22,540,69,42342.78151,75.20920339,3.741526449
NEAR,6.Saturday,23,78,29,46132.43546,465.9841966,37.56285983
BSC,6.Saturday,23,18159,8086,8434508.157,464.4808721,51.2627437
Arbitrum,6.Saturday,23,2164,886,2434872.203,1125.171998,22.07839856
Polygon,6.Saturday,23,4129,1785,2906728.17,703.9787285,9.281964377
Gnosis,6.Saturday,23,100,29,3349.760152,33.49760152,0.970139813
Algorand,6.Saturday,23,969,77,217045.9282,215.3233414,5.115226573
Optimism,6.Saturday,23,1786,546,3871468.268,2167.675402,50.95018469
Avalanche,6.Saturday,23,772,404,260569.792,337.5256373,49.79424303
Flow,6.Saturday,23,14,8,2621.325188,97.08611809,2.19095419
Osmosis,6.Saturday,23,606,267,144553.8447,238.5376975,12.0531362
Solana,6.Saturday,23,6990,359,255413.9208,36.53990283,1.001659999
Ethereum,6.Saturday,23,2221,129,26951161.08,9698.150803,627.3300337
THORChain,6.Saturday,23,779,40,690463.1456,550.1698372,399.9375866
THORChain,7.Sunday,0,599,32,464939.3362,479.8135565,396.3837466
BSC,7.Sunday,0,16864,7953,6359791.266,377.1223474,53.96415662
Flow,7.Sunday,0,13,9,731.0150842,40.61194912,15.28835018
Optimism,7.Sunday,0,1188,526,1766602.626,1487.039247,21.996631
Polygon,7.Sunday,0,2949,1512,946810.6558,321.0615991,2.637402379
Osmosis,7.Sunday,0,499,229,88234.26985,176.8221841,10.0868347
NEAR,7.Sunday,0,46,22,19695.66747,358.1030448,30.87771801
Avalanche,7.Sunday,0,527,324,323697.7079,614.2271497,22.8338864
Gnosis,7.Sunday,0,30,22,4660.772904,155.3590968,1.334539725
Algorand,7.Sunday,0,855,75,87201.46499,96.67568181,6.10449472
Solana,7.Sunday,0,2929,344,861359.1768,293.9792412,1.238970001
Arbitrum,7.Sunday,0,1616,799,1029364.481,636.9829712,2.615329874
Ethereum,7.Sunday,0,1738,116,14626941,6752.973682,592.375
Arbitrum,7.Sunday,1,1749,861,1262467.648,721.8225544,1.184276827
Ethereum,7.Sunday,1,2151,151,16398069.69,5913.476269,479.752334
BSC,7.Sunday,1,17207,8571,6214615.765,361.1678832,55.97892179
Solana,7.Sunday,1,2184,289,100129.4285,45.74208701,1.001057007
Flow,7.Sunday,1,12,7,3008.755126,200.5836751,42.45808025
Optimism,7.Sunday,1,1302,664,1199953.32,921.6231337,20.49600576
NEAR,7.Sunday,1,106,21,151001.2326,1055.952675,68.61863142
Avalanche,7.Sunday,1,479,293,613701.8992,1281.214821,18.95163166
THORChain,7.Sunday,1,553,33,820755.1357,897.0001484,414.5578182
Gnosis,7.Sunday,1,42,23,2262.959688,53.87999258,3.440621781
Polygon,7.Sunday,1,2930,1529,754487.2019,257.5041645,1.809816797
Osmosis,7.Sunday,1,369,169,32485.4118,88.03634635,6.056578
Algorand,7.Sunday,1,344,76,9894.197492,28.51353744,2.317892293
Solana,7.Sunday,2,1046,232,119573.318,113.6628498,7.431106942
BSC,7.Sunday,2,17018,8862,4961709.707,291.5565699,50.02110459
Avalanche,7.Sunday,2,452,306,104042.4347,230.1823777,21.92876865
THORChain,7.Sunday,2,457,22,618241.8493,906.5129755,429.9713266
Gnosis,7.Sunday,2,5,5,33.94135011,6.788270022,1.72131835
Optimism,7.Sunday,2,1152,675,571053.0337,495.7057584,20.0217105
NEAR,7.Sunday,2,43,19,90913.95133,1594.981602,1.83282478
Ethereum,7.Sunday,2,1862,124,30815864.88,12760.1925,841.48
Flow,7.Sunday,2,6,5,1550.163247,193.7704059,105.2922664
Arbitrum,7.Sunday,2,1993,997,986342.2566,494.9032898,0.506617917
Algorand,7.Sunday,2,296,49,5227.76315,17.48415769,1.052100312
Polygon,7.Sunday,2,2719,1579,554472.6746,203.9252205,1.104174994
Osmosis,7.Sunday,2,319,179,23009.84039,72.1311611,7.794509749
Optimism,7.Sunday,3,1303,774,776903.4959,596.2421304,21.81223258
Flow,7.Sunday,3,7,5,564.7514276,35.29696423,0.084951668
BSC,7.Sunday,3,18800,9143,8054582.203,428.4352235,71.01834315
Polygon,7.Sunday,3,2918,1602,437118.5892,149.8007502,1.009719225
Arbitrum,7.Sunday,3,2429,1100,501652.707,206.5264335,0.116607698
THORChain,7.Sunday,3,397,25,434588.318,659.4663399,454.7568423
Algorand,7.Sunday,3,326,53,6732.169727,20.03621943,4.585234826
Avalanche,7.Sunday,3,425,264,202657.9118,476.8421454,13.77300583
Osmosis,7.Sunday,3,286,172,9440.27846,33.00796664,2.290272917
Solana,7.Sunday,3,2069,263,91400.69603,44.15492562,1.001072518
Ethereum,7.Sunday,3,1671,115,17925751.27,8085.589206,486.34
Gnosis,7.Sunday,3,42,20,368.6633834,8.777699604,2.491304112
NEAR,7.Sunday,3,33,11,11885.85772,289.8989687,22.11278958
Avalanche,7.Sunday,4,629,324,400861.1637,637.2991474,66.14449784
BSC,7.Sunday,4,23916,9988,11485854.01,480.258154,59.74496395
Arbitrum,7.Sunday,4,2713,1226,2456351.363,905.4004288,1.390618066
Polygon,7.Sunday,4,4054,1849,2299997.867,567.3403718,6.370739769
Algorand,7.Sunday,4,208,54,5951.485468,28.6129109,2.113112181
Osmosis,7.Sunday,4,340,173,70673.06939,207.8619688,10.06420756
Ethereum,7.Sunday,4,2104,135,21732929.82,8079.156066,725.4358169
Flow,7.Sunday,4,4,3,1112.083504,222.4167008,12.22472314
NEAR,7.Sunday,4,52,16,33645.54752,480.6506789,18.73283585
Optimism,7.Sunday,4,2328,954,2461054.67,1057.154068,24.9961716
Solana,7.Sunday,4,12714,277,296012.1967,23.28238137,0.500581041
THORChain,7.Sunday,4,788,27,764732.0653,563.5461056,393.8201122
Gnosis,7.Sunday,4,71,26,7458.606199,105.0507915,5.538450201
Optimism,7.Sunday,5,2054,1042,970896.427,472.6856996,22.49641071
Gnosis,7.Sunday,5,55,26,1603.289335,29.15071518,5.192141459
Polygon,7.Sunday,5,3098,1553,972875.7226,314.0334805,1.949017171
Arbitrum,7.Sunday,5,3080,1480,1744372.174,566.3546019,0.10799059
Solana,7.Sunday,5,1769,240,224375.3704,126.8374055,1.001064012
Algorand,7.Sunday,5,151,55,5842.271493,38.69053969,2.850238877
NEAR,7.Sunday,5,32,12,22597.14981,538.0273763,14.39203967
Flow,7.Sunday,5,6,4,1660.989731,184.5544145,48.88914652
Osmosis,7.Sunday,5,364,176,107949.2705,296.5639299,25.59909983
BSC,7.Sunday,5,18485,9743,5264904.448,284.8203651,49.83412587
THORChain,7.Sunday,5,517,20,398543.8855,448.305833,392.7188304
Avalanche,7.Sunday,5,473,300,320497.2411,677.5840193,12.76585828
Ethereum,7.Sunday,5,1753,116,16399792.74,7444.299928,629.95
Avalanche,7.Sunday,6,552,309,191056.9105,346.1175915,24.92923897
BSC,7.Sunday,6,19563,10275,5895192.187,301.3439752,55.83868321
Optimism,7.Sunday,6,2109,1039,433569.3358,205.5805291,20.99678414
NEAR,7.Sunday,6,75,24,88825.87111,1057.450847,32.83898662
Algorand,7.Sunday,6,172,53,4060.843775,23.33818261,3.409957828
Flow,7.Sunday,6,5,3,1859.68325,309.9472083,292.8501654
Polygon,7.Sunday,6,3172,1612,1090611.392,343.8245247,1.984467677
Gnosis,7.Sunday,6,38,23,1795.034475,47.23774934,1.427970379
THORChain,7.Sunday,6,612,24,434770.2107,491.8215053,396.3906829
Ethereum,7.Sunday,6,1638,120,9966698.815,4861.8043,480.966147
Osmosis,7.Sunday,6,361,166,70002.06305,193.911532,19.49187716
Arbitrum,7.Sunday,6,3029,1567,1978902.745,653.3188329,0.118155381
Solana,7.Sunday,6,2098,250,112287.0836,53.52101219,1.001167086
Flow,7.Sunday,7,3,3,161.9718394,40.49295984,4.728114529
Ethereum,7.Sunday,7,1509,106,11482915.19,6059.585852,480.53
Polygon,7.Sunday,7,2709,1569,492830.5114,181.9234077,1.009719225
NEAR,7.Sunday,7,34,17,134680.2321,3206.672193,14.72552444
Algorand,7.Sunday,7,423,52,20173.68719,45.03055176,3.679552562
THORChain,7.Sunday,7,316,30,313379.8373,537.5297381,397.8205397
Solana,7.Sunday,7,795,250,180968.6878,227.6335696,2.405408665
Avalanche,7.Sunday,7,554,344,251355.1163,453.7095962,11.9857302
Optimism,7.Sunday,7,1790,1050,696157.9693,388.9150667,20.99502986
Osmosis,7.Sunday,7,806,210,542201.2681,672.706288,18.84655527
Arbitrum,7.Sunday,7,2869,1436,689023.299,240.1614845,0.100386774
Gnosis,7.Sunday,7,26,14,332.3603325,12.78308971,1.454131558
BSC,7.Sunday,7,20088,11777,4570972.193,227.5474011,40.17860711
THORChain,7.Sunday,8,239,21,204918.2263,462.5693596,398.9805941
Osmosis,7.Sunday,8,457,211,85799.37681,187.744807,9.563961017
Arbitrum,7.Sunday,8,3291,1726,1596839.837,485.2141711,0.118224162
Solana,7.Sunday,8,1301,314,124226.0436,95.48504508,2.101656013
Ethereum,7.Sunday,8,1650,99,13669178.53,6444.685778,461.75
Avalanche,7.Sunday,8,598,370,320112.9691,535.3059684,20.4518959
Algorand,7.Sunday,8,254,44,15947.0114,59.0630052,2.594059394
Gnosis,7.Sunday,8,36,22,535.2249037,14.86735844,2.565067871
BSC,7.Sunday,8,20234,11244,4369315.703,215.9392954,31.93169507
NEAR,7.Sunday,8,33,19,66259.61027,1698.964366,13.09531763
Polygon,7.Sunday,8,2936,1678,398096.3373,135.5913955,1.009719225
Optimism,7.Sunday,8,2672,1272,947557.1642,354.6246872,20.99678414
Flow,7.Sunday,8,6,6,381.2263284,47.65329105,49.92741762
Ethereum,7.Sunday,9,2392,154,28925927.39,9609.942655,817.84
BSC,7.Sunday,9,23345,12814,7022427.645,300.8107794,31.59104151
Algorand,7.Sunday,9,392,64,20253.51074,49.6409577,3.373568777
Gnosis,7.Sunday,9,120,46,9089.530915,75.74609096,3.721657369
Osmosis,7.Sunday,9,578,237,110587.939,191.3286141,10.84539873
Flow,7.Sunday,9,20,11,8856.564025,285.6956137,49.55203991
Arbitrum,7.Sunday,9,5252,2652,2685956.547,511.4159458,0.196191333
Polygon,7.Sunday,9,5318,2565,3165104.227,595.1681511,2.007318997
Optimism,7.Sunday,9,2688,1280,2162000.936,804.3158245,20.99678414
Solana,7.Sunday,9,5867,370,255231.7512,43.50294039,1.001062011
NEAR,7.Sunday,9,53,23,15388.61236,256.4768727,27.59611958
Avalanche,7.Sunday,9,814,423,434688.0404,534.0147917,59.91767219
THORChain,7.Sunday,9,742,29,534132.7051,429.3671263,360.8878853
Polygon,7.Sunday,10,6371,3423,1028171.032,161.3829905,0.403595658
Gnosis,7.Sunday,10,21,16,224.0098716,10.66713674,4.511786365
Osmosis,7.Sunday,10,468,229,57290.85294,122.4163524,8.667632231
Optimism,7.Sunday,10,1811,1042,510465.8517,281.8696033,20.99590927
Flow,7.Sunday,10,6,5,364.5164466,52.07377808,47.33430325
BSC,7.Sunday,10,21972,13289,4106067.837,186.877291,20.06903064
Ethereum,7.Sunday,10,1800,115,11355546.71,5085.332159,319.365651
Algorand,7.Sunday,10,392,54,9987.515428,25.15746959,1.507535533
Solana,7.Sunday,10,1740,369,117231.8942,67.29729862,2.353946611
THORChain,7.Sunday,10,223,22,155894.5437,388.764448,307.6491305
Arbitrum,7.Sunday,10,5559,3746,1232093.589,221.6394295,0.100386774
Avalanche,7.Sunday,10,604,375,239331.9785,396.2449976,23.26223701
NEAR,7.Sunday,10,51,26,167432.37,2262.599594,14.2168789
THORChain,7.Sunday,11,387,24,286492.7065,459.1229271,389.600495
Gnosis,7.Sunday,11,65,42,3233.94109,49.75293985,1.002619192
Optimism,7.Sunday,11,1835,1097,633537.1821,345.2518704,20.99592227
Ethereum,7.Sunday,11,1874,112,15111999.22,6195.981638,352.54
Flow,7.Sunday,11,7,4,351.5170852,50.21672646,52.68641673
Algorand,7.Sunday,11,251,45,8598.482911,33.85229493,3.909471002
NEAR,7.Sunday,11,31,16,1617.352521,43.71223028,8.876657644
Solana,7.Sunday,11,2109,354,116614.1069,55.18888163,1.462512141
Avalanche,7.Sunday,11,681,430,302037.2794,443.520234,33.61586955
Arbitrum,7.Sunday,11,4341,2592,827300.4391,190.5783089,0.118013809
Osmosis,7.Sunday,11,467,251,154723.6872,331.3141054,8.808078
BSC,7.Sunday,11,20968,11887,4357711.796,207.826774,37.42955105
Polygon,7.Sunday,11,5229,2906,997843.9217,190.8288242,0.501829749
Arbitrum,7.Sunday,12,4824,2692,636055.9009,131.8523841,0.099896838
Avalanche,7.Sunday,12,677,402,314220.425,464.1365215,12.89145258
THORChain,7.Sunday,12,293,24,222545.5375,471.4947829,356.4572075
BSC,7.Sunday,12,22080,12966,4190523.642,189.7882084,32.90499934
Gnosis,7.Sunday,12,108,35,8195.759585,75.88666282,0.413748644
Solana,7.Sunday,12,2584,397,145688.3051,56.27203751,1.000930917
Ethereum,7.Sunday,12,1742,124,9189079.541,4219.044785,378.362592
NEAR,7.Sunday,12,39,24,20971.44033,388.3600061,23.34990556
Polygon,7.Sunday,12,4714,2696,645415.5148,136.9146192,0.586199094
Flow,7.Sunday,12,8,7,638.0276253,63.80276253,28.73474824
Optimism,7.Sunday,12,2700,1360,804358.8982,297.910703,20.99678414
Osmosis,7.Sunday,12,484,238,69850.06977,144.318326,16.14849584
Algorand,7.Sunday,12,393,47,19281.96045,47.84605572,2.819805491
THORChain,7.Sunday,13,436,41,312431.3967,524.2137529,392.8841439
BSC,7.Sunday,13,25846,14479,5491324.13,212.4632102,33.36309306
Optimism,7.Sunday,13,2376,1331,1155135.409,486.1681013,23.02150899
Arbitrum,7.Sunday,13,5284,3061,533780.17,101.0182002,0.026872615
Solana,7.Sunday,13,1078,359,134000.4807,124.3047131,5.996865873
NEAR,7.Sunday,13,50,26,96077.22437,1628.427532,22.96640179
Gnosis,7.Sunday,13,73,29,3986.654813,54.61170977,1.073827344
Algorand,7.Sunday,13,375,79,25073.05402,66.68365432,1.508620266
Ethereum,7.Sunday,13,1636,97,16426293.55,8075.857203,309.6841122
Avalanche,7.Sunday,13,634,412,194990.5558,307.5560817,17.33625679
Polygon,7.Sunday,13,4685,2720,695907.1322,148.5394092,0.803447069
Flow,7.Sunday,13,16,14,1579.712537,83.1427651,58.40056416
Osmosis,7.Sunday,13,796,329,241299.4348,303.1399935,16.99639191
Avalanche,7.Sunday,14,749,393,509649.5856,680.4400342,55.24708917
NEAR,7.Sunday,14,60,26,150799.3018,1933.324382,14.13173318
Polygon,7.Sunday,14,5087,2771,1247480.498,245.229113,0.817197016
Ethereum,7.Sunday,14,2148,140,46211456.37,16445.35814,539.485
Gnosis,7.Sunday,14,41,28,3958.452578,96.54762386,2.714888129
Algorand,7.Sunday,14,639,75,40223.68096,61.78752836,5.653966839
Arbitrum,7.Sunday,14,5646,3147,2025040.712,358.6682097,0.066073797
BSC,7.Sunday,14,24525,12839,5552323.891,226.3944502,25.0106919
Osmosis,7.Sunday,14,611,279,72004.43456,117.8468651,10.46933807
Optimism,7.Sunday,14,2591,1260,1805269.776,696.7463435,20.99504073
Flow,7.Sunday,14,20,18,4507.880982,180.3152393,48.89296808
Solana,7.Sunday,14,2348,409,345632.2374,147.2028268,1.851760224
THORChain,7.Sunday,14,356,41,401035.7597,645.7902733,321.9414317
Avalanche,7.Sunday,15,535,351,861152.0907,1609.630076,31.0602357
Osmosis,7.Sunday,15,613,222,122506.6253,199.8476758,10.087504
Polygon,7.Sunday,15,3806,2161,816747.4483,214.5947053,0.804351475
Optimism,7.Sunday,15,1804,868,777754.0873,431.1275428,26.67910284
THORChain,7.Sunday,15,215,32,252374.4589,706.9312573,362.6433036
Solana,7.Sunday,15,1821,396,197535.1554,108.2977826,4.103132079
Flow,7.Sunday,15,3,3,222.3947005,55.59867512,47.57228622
Arbitrum,7.Sunday,15,3126,1667,1608797.499,514.6505115,0.171246918
NEAR,7.Sunday,15,44,21,7823.079575,142.2378105,13.75838513
Algorand,7.Sunday,15,1021,67,143331.7523,137.8189926,4.482509989
Ethereum,7.Sunday,15,1764,114,13338677.3,6096.287616,410.6550256
BSC,7.Sunday,15,21029,11355,4548981.13,216.3194222,38.60145266
Gnosis,7.Sunday,15,31,21,692.8751708,22.35081196,1.103800412
Osmosis,7.Sunday,16,576,239,126556.8257,219.3359197,8.51749836
Polygon,7.Sunday,16,3831,1959,705988.9779,184.2832101,1.012585492
Flow,7.Sunday,16,6,6,962.1415217,120.2676902,65.02659901
THORChain,7.Sunday,16,196,29,206313.3183,586.1173816,306.5099263
Ethereum,7.Sunday,16,1915,127,11779004.98,4722.937042,432.5754514
BSC,7.Sunday,16,20134,10137,4646729.206,230.7901662,36.82620553
Arbitrum,7.Sunday,16,2752,1486,806012.9867,292.882626,0.118224162
Gnosis,7.Sunday,16,51,17,1053.547587,20.65779583,0.961864266
NEAR,7.Sunday,16,25,12,17942.81237,512.6517821,13.0056316
Algorand,7.Sunday,16,394,78,6698.755665,16.62222249,1.955454589
Solana,7.Sunday,16,3753,374,149354.9742,39.76437013,0.100865943
Optimism,7.Sunday,16,1261,739,574396.1905,455.5084778,36.35089351
Avalanche,7.Sunday,16,543,350,450816.5641,830.2330831,32.76536158
Ethereum,7.Sunday,17,1398,105,11204796.56,6116.155329,306.59
NEAR,7.Sunday,17,27,14,40838.30032,1201.12648,5.133034482
Polygon,7.Sunday,17,2655,1435,430774.8737,162.2504232,1.00531289
Optimism,7.Sunday,17,1030,595,292930.9133,284.398945,30.45066463
Algorand,7.Sunday,17,182,67,4641.979063,24.82341745,3.881579893
Avalanche,7.Sunday,17,388,260,256498.1322,661.0776602,25.21051642
Gnosis,7.Sunday,17,146,41,10616.02775,72.71251882,1.080382665
THORChain,7.Sunday,17,259,30,213359.7693,495.0342675,367.2111558
Solana,7.Sunday,17,1574,279,216690.255,137.5811143,1.001037993
BSC,7.Sunday,17,17115,8182,4433771.432,259.0576355,36.62504294
Flow,7.Sunday,17,5,4,669.4409334,111.5734889,67.73132616
Osmosis,7.Sunday,17,489,251,71865.67852,146.9645778,8.120418504
Arbitrum,7.Sunday,17,2234,1183,850074.3688,380.5167273,0.118224162
NEAR,7.Sunday,18,54,18,55756.88624,945.0319701,161.0133413
THORChain,7.Sunday,18,1051,43,925004.2018,520.5426009,365.9903858
Solana,7.Sunday,18,4555,410,331132.1324,72.66450129,10.0072407
Algorand,7.Sunday,18,540,81,31098.66731,55.83243682,3.214284104
Arbitrum,7.Sunday,18,3295,1525,4680100.904,1420.364462,18.65540225
Ethereum,7.Sunday,18,2272,133,41118708.12,15128.29585,785.4876046
Gnosis,7.Sunday,18,123,31,12273.01264,99.7805906,1.076431393
Flow,7.Sunday,18,27,8,7162.060385,246.9675995,130.2062614
Optimism,7.Sunday,18,1931,674,3333739.117,1726.431443,52.74048423
Avalanche,7.Sunday,18,674,347,373085.914,553.5399317,100.6051526
Osmosis,7.Sunday,18,824,362,116545.5911,141.4388242,4.968788083
BSC,7.Sunday,18,17813,8070,7552860.225,424.0083212,47.45603346
Polygon,7.Sunday,18,4891,1849,3987430.197,815.2586787,16.07255001
Ethereum,7.Sunday,19,2018,110,23710913.79,9172.500499,314.14337
Algorand,7.Sunday,19,443,80,4779.394939,10.74021335,1.255216989
Optimism,7.Sunday,19,1671,682,2183221.774,1306.53607,21.36700667
Solana,7.Sunday,19,1572,426,165450.3289,105.2483008,10.00750789
Polygon,7.Sunday,19,3491,1762,1265017.156,362.3652694,1.630010271
Gnosis,7.Sunday,19,63,22,617.9346081,9.808485843,0.959478305
Arbitrum,7.Sunday,19,2410,1259,1193716.801,495.3181746,0.893992907
THORChain,7.Sunday,19,251,33,294841.8679,653.7513701,378.7913231
Avalanche,7.Sunday,19,539,330,89171.68485,165.4391185,17.22971841
Flow,7.Sunday,19,15,6,2040.99276,120.0583976,66.16659019
Osmosis,7.Sunday,19,770,446,67892.64195,88.17226227,3.277660203
BSC,7.Sunday,19,14183,7083,3784176.302,266.8107102,25.0862883
NEAR,7.Sunday,19,32,19,3676.83408,91.92085201,13.38028017
Polygon,7.Sunday,20,2970,1562,1142014.497,384.5166655,1.636104993
Arbitrum,7.Sunday,20,2161,1132,1532898.342,709.346757,0.998769393
Avalanche,7.Sunday,20,560,363,111388.9338,198.9088104,24.53329924
Osmosis,7.Sunday,20,696,384,67240.77808,96.61031333,3.96272211
BSC,7.Sunday,20,11689,5889,3012786.513,257.7454455,33.87058243
THORChain,7.Sunday,20,450,38,534137.8052,715.0439159,398.9548641
Gnosis,7.Sunday,20,83,21,2152.372419,25.93219782,1.030209783
Ethereum,7.Sunday,20,2055,128,11424947.35,4329.271448,395.7584222
Solana,7.Sunday,20,3131,497,315697.0948,100.7972844,4.01680231
Flow,7.Sunday,20,10,6,2637.643837,219.8036531,106.4223619
Optimism,7.Sunday,20,1410,530,2685867.255,1904.870394,41.99794698
NEAR,7.Sunday,20,57,20,29033.1223,408.9172156,24.73600662
Algorand,7.Sunday,20,920,71,49707.26848,52.93638816,4.10175624
Polygon,7.Sunday,21,2894,1520,1090086.711,376.6712892,3.329824301
Solana,7.Sunday,21,1709,416,176676.6829,103.3801539,4.005860695
NEAR,7.Sunday,21,56,24,20606.26268,294.3751811,15.94896856
Gnosis,7.Sunday,21,39,19,2933.330723,75.21360828,2.106473618
THORChain,7.Sunday,21,288,34,250108.8334,480.0553424,364.9567355
Arbitrum,7.Sunday,21,1846,1002,1045168.562,566.1801528,1.116913072
Avalanche,7.Sunday,21,569,346,533164.5937,937.0203755,30.57884841
Optimism,7.Sunday,21,1298,493,1926268.836,1484.028379,21.96699204
Flow,7.Sunday,21,8,6,1059.220848,105.9220848,26.66294762
Ethereum,7.Sunday,21,2144,120,18610365.79,7030.738871,500.2821376
Algorand,7.Sunday,21,716,69,80226.76834,110.2016049,8.328653297
BSC,7.Sunday,21,10194,5472,2238217.568,219.5622492,32.72479531
Osmosis,7.Sunday,21,653,346,152118.6093,232.9534599,4.443654586
Gnosis,7.Sunday,22,67,39,6375.340807,95.1543404,2.424785423
Flow,7.Sunday,22,12,8,15742.82472,583.067582,518.6815037
Optimism,7.Sunday,22,1691,448,4334334.366,2563.178218,45.55117091
Ethereum,7.Sunday,22,1960,131,23834642.78,9552.963038,531.7974918
Solana,7.Sunday,22,3968,486,247726.9413,62.39973332,10.00730824
BSC,7.Sunday,22,11960,5617,5531034.709,462.4610961,49.42423851
Arbitrum,7.Sunday,22,2366,1008,2477969.527,1047.324399,14.35122797
Osmosis,7.Sunday,22,610,275,99084.80243,162.4341023,7.005545122
Algorand,7.Sunday,22,456,73,21606.70643,44.54991016,5.026604427
NEAR,7.Sunday,22,35,22,14876.41892,362.8394859,22.64719649
Polygon,7.Sunday,22,3502,1444,2797609.608,798.860539,11.6022471
Avalanche,7.Sunday,22,594,347,487001.8308,819.868402,39.17660424
THORChain,7.Sunday,22,624,31,554646.8565,540.5914781,399.1227389
Osmosis,7.Sunday,23,593,270,125307.0491,211.3103695,9.945269204
Algorand,7.Sunday,23,597,62,66118.50929,107.8605372,18.3353252
Arbitrum,7.Sunday,23,1834,788,1708604.215,931.6271618,20.06731864
Ethereum,7.Sunday,23,1966,127,32817051.98,12909.9339,635.2282481
Flow,7.Sunday,23,13,10,7107.929726,418.1135133,59.24481348
NEAR,7.Sunday,23,82,20,50378.70272,524.7781534,68.66124304
BSC,7.Sunday,23,11919,6162,4986624.457,418.3760766,49.92237775
THORChain,7.Sunday,23,788,40,850554.6433,624.9483051,365.5496032
Avalanche,7.Sunday,23,768,344,361303.3956,470.4471297,100.1170957
Polygon,7.Sunday,23,4116,1425,3565466.54,866.245515,33.55836953
Optimism,7.Sunday,23,1411,427,2454831.95,1739.78168,20.03748619
Solana,7.Sunday,23,9814,435,351510.823,35.81363454,1.001056006
Gnosis,7.Sunday,23,51,29,6179.256868,121.1618994,5.503049184
